Player,Rating,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Lewandowski,90,Barcelona,Bayern München,CF,34,45000000,2026-06-30,31,2887,34,24.57,4,5.09,21.54,37.19,Poland,Poland,right,185,81,no,2.09,2.4,49.35,4.24,48.53,0.09,0.16,0.03,0.81,1.35,0.94,5,0.16,0,0.0,4.58,1.06,29,0.9,0.77,8,0.25,132,4.11,48.48,25.758,0.12,1.09,48.57,0.41,46.15,0.59,52.63,0.25,3.96,39.37,11.0,31.73,6.42,1.31,0.75,19.8,2.21,1.34,22.48,76.28,5.27,60.95,4.55,91.1,6.36,79.9,20.54,78.3,0.84,62.96,14.7,22.38,0.16,0.97,0.25,0.12,1.4,35.56,0.59,1.53,65.31,2.56,60.98,1.4,31.11,1.78,0.53,2.09,80.6,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.06,0.06,100.0,0.0,5,100.0
M. Reus,88,Borussia Dortmund,Borussia Dortmund,"AMF, CF",33,9000000,2023-06-30,19,1568,11,7.16,5,2.3,17.79,35.48,Germany,Germany,right,180,71,no,5.97,5.17,57.78,2.12,13.51,0.06,0.08,0.23,2.93,4.3,0.92,1,0.06,0,0.0,3.21,0.63,10,0.57,0.41,2,0.11,44,2.53,54.55,25.0,0.29,1.15,10.0,0.63,0.0,0.52,22.22,0.17,3.04,30.19,7.17,27.2,5.22,1.15,0.4,28.81,1.03,0.98,35.59,85.16,8.32,80.0,8.32,93.79,8.95,84.62,33.75,87.93,0.8,64.29,15.51,21.64,0.13,0.92,0.17,0.17,1.15,70.0,0.69,3.33,81.03,2.35,65.85,0.63,72.73,1.95,0.17,4.08,87.32,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.98,0.17,66.67,0.0,1,100.0
M. Hummels,88,Borussia Dortmund,Borussia Dortmund,"CB, LCB",33,6500000,2023-06-30,31,2699,1,2.17,3,0.84,16.87,66.21,Germany,Germany,right,191,94,no,12.04,6.6,75.25,4.87,65.75,0.63,0.86,0.43,6.44,8.77,0.97,7,0.23,1,0.03,0.63,0.03,1,0.03,0.07,1,0.03,20,0.67,20.0,5.0,0.1,0.17,20.0,0.13,25.0,0.03,0.0,0.03,0.63,63.16,1.7,50.98,0.7,0.87,0.2,52.69,0.3,0.3,72.66,89.17,24.11,76.35,2.47,95.95,40.92,95.84,62.76,94.05,9.74,58.9,22.88,38.87,0.03,0.23,0.0,0.07,0.33,20.0,0.17,8.7,65.9,1.23,43.24,1.3,33.33,0.4,0.03,10.9,74.92,0,,0,,0,0.0,0.0,0.0,,,1.37,,,0.03,0.0,0.0,0.0,0,0.0
M. Neuer,88,Bayern München,Bayern München,GK,36,12000000,2024-06-30,33,3123,0,0.0,0,0.0,0.63,72.73,Germany,Germany,right,193,93,no,1.93,0.17,33.33,0.37,92.31,0.0,0.0,0.0,1.87,3.11,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.09,66.67,0.0,0.0,0.0,24.76,0.46,0.06,33.92,92.18,16.57,85.39,0.0,0.0,15.48,98.88,26.63,98.27,7.26,70.24,27.23,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,54.76,0.0,0.0,0.17,16.67,0.0,0.0,5.71,70.2,31,0.89,117,3.37,15,73.5,32.88,0.95,1.88,0.054,0.0,0.66,0.37,,,,0.0,0,0.0
J. Kimmich,86,Bayern München,Bayern München,"RDMF, RB, DMF",27,80000000,2025-06-30,33,2972,3,1.25,8,8.33,15.08,53.21,Germany,Germany,right,177,75,no,8.75,5.69,63.3,2.0,45.45,0.55,0.9,0.21,4.6,7.64,0.82,7,0.21,0,0.0,2.6,0.09,3,0.09,0.04,0,0.0,23,0.7,52.17,13.043,0.24,1.82,43.33,0.18,83.33,1.64,38.89,0.36,1.7,53.57,4.51,46.98,0.85,1.42,0.51,57.69,1.12,1.33,74.95,90.38,22.32,83.72,10.24,95.56,32.55,93.77,66.17,93.55,7.03,72.41,20.08,37.86,0.25,2.12,0.15,0.0,1.27,42.86,0.55,11.87,83.93,4.42,58.22,2.39,41.77,1.88,0.73,12.2,87.59,0,,0,,0,0.0,0.0,0.0,,,1.3,,,1.12,0.09,66.67,5.12,0,0.0
T. Müller,86,Bayern München,Bayern München,"AMF, RAMF, RCMF",33,18000000,2024-06-30,33,2350,8,8.43,19,10.93,20.14,45.82,Germany,Germany,right,185,76,no,6.93,5.94,60.65,3.49,35.16,0.92,1.53,0.15,2.41,4.02,0.65,5,0.19,0,0.0,4.63,0.31,8,0.31,0.32,0,0.0,51,1.95,37.25,15.686,0.73,4.83,39.68,0.46,25.0,4.25,41.44,0.38,2.11,54.55,6.55,42.69,5.97,1.72,0.8,38.64,3.41,0.96,48.71,76.97,11.14,66.32,11.87,96.13,16.81,73.12,41.48,82.55,2.91,51.32,17.89,35.69,0.42,2.76,0.15,0.15,2.37,35.48,1.76,4.9,72.66,6.63,55.49,2.18,26.32,3.18,1.84,7.58,90.4,0,,0,,0,0.0,0.0,0.0,,,0.19,,,0.0,0.0,0.0,0.34,0,0.0
R. Bürki,85,St. Louis City ,Borussia Dortmund,GK,31,1500000,2025-12-31,31,2899,0,0.0,0,0.0,0.4,69.23,Switzerland,Switzerland,right,187,85,no,1.99,0.16,80.0,0.03,100.0,0.0,0.0,0.0,1.86,2.49,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.09,66.67,0.03,0.0,0.03,16.67,0.37,0.06,23.97,87.56,12.14,78.26,0.06,100.0,11.24,98.34,17.98,97.41,5.93,58.64,30.08,47.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,32.14,0.0,0.0,0.0,0.0,0.0,0.0,5.06,61.35,40,1.24,107,3.32,12,62.62,35.4,1.1,-4.6,-0.143,0.03,0.9,0.03,,,,0.0,0,0.0
A. Witsel,85,Atlético Madrid,Borussia Dortmund,"LCMF, LDMF, RDMF",33,5000000,2023-06-30,28,2347,4,2.79,4,1.83,13.42,54.0,Belgium,"Belgium, Martinique",right,186,81,no,6.48,4.68,59.84,1.34,71.43,0.19,0.27,0.31,3.49,4.82,1.34,4,0.15,0,0.0,1.34,0.15,4,0.15,0.11,1,0.04,29,1.11,24.14,13.793,0.15,0.42,36.36,0.08,50.0,0.31,37.5,0.08,1.04,66.67,4.95,47.29,1.19,0.69,0.27,52.65,0.23,1.42,65.42,94.55,13.84,87.26,11.16,98.28,27.42,97.48,63.35,95.64,1.65,67.44,16.89,29.26,0.07,0.38,0.15,0.04,0.31,75.0,0.35,7.4,89.12,0.81,61.9,0.46,58.33,0.46,0.15,5.56,82.07,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.0,0.0,0.0,0.0,0,0.0
N. Süle,84,Borussia Dortmund,Bayern München,RCB,27,35000000,2026-06-30,8,673,0,0.57,0,0.14,11.23,64.29,Germany,Germany,right,195,99,no,8.42,4.81,58.33,3.34,76.0,0.4,0.67,0.8,5.22,8.67,0.8,1,0.13,0,0.0,0.27,0.0,0,0.0,0.08,0,0.0,6,0.8,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.13,100.0,0.94,71.43,0.67,1.07,0.0,63.39,0.27,0.4,82.11,93.16,27.95,86.6,3.48,92.31,42.79,98.13,75.96,95.77,6.02,62.22,21.92,43.63,0.02,0.13,0.13,0.0,0.27,50.0,0.0,8.83,81.82,1.07,75.0,0.53,50.0,0.8,0.0,13.37,81.0,0,,0,,0,0.0,0.0,0.0,,,2.94,,,0.0,0.0,0.0,0.0,0,0.0
T. Werner,84,RB Leipzig,RB Leipzig,CF,26,25000000,2026-06-30,34,2934,28,19.53,8,7.82,15.06,41.96,Germany,Germany,right,180,75,no,2.39,2.15,60.0,0.98,28.13,0.12,0.16,0.03,0.98,1.27,0.52,4,0.12,0,0.0,6.5,0.86,25,0.77,0.6,0,0.0,116,3.56,53.45,24.138,0.25,3.16,33.01,1.99,38.46,1.17,23.68,0.74,5.89,51.04,9.33,42.43,6.66,3.13,1.84,26.1,3.19,0.89,31.35,74.76,6.13,71.5,8.13,87.92,10.06,69.51,27.33,80.02,1.17,55.26,16.41,35.56,0.24,1.35,0.15,0.0,1.26,43.9,0.95,2.42,73.42,3.74,57.38,0.86,28.57,2.12,0.92,3.87,82.54,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.0,0.0,0.0,0.06,3,100.0
