Player,Rating,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Neuer,92,Bayern München,Bayern München,GK,36,12000000,2024-06-30,26,2410,0,0.0,0,0.0,0.41,72.73,Germany,Germany,right,193,93,no,1.16,0.11,66.67,0.19,80.0,0.0,0.0,0.0,1.08,1.81,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.04,0.0,0.0,20.95,0.34,0.07,27.26,89.86,13.67,82.51,0.04,100.0,12.55,97.32,19.9,97.94,7.36,68.02,28.4,46.57,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.16,54.84,0.11,33.33,0.04,0.0,0.0,0.0,6.05,72.22,23,0.86,57,2.13,10,59.65,20.54,0.77,-2.46,-0.092,0.0,0.63,0.19,,,,0.0,0,0.0
R. Lewandowski,91,Barcelona,Bayern München,CF,34,45000000,2026-06-30,33,3098,22,28.43,7,5.75,20.1,36.13,Poland,Poland,right,185,81,no,1.63,1.51,50.0,4.5,32.9,0.06,0.1,0.09,0.81,1.39,0.67,2,0.06,0,0.0,3.81,0.64,19,0.55,0.83,6,0.17,134,3.89,39.55,16.418,0.2,0.67,26.09,0.32,9.09,0.32,45.45,0.12,3.43,46.61,9.96,34.4,6.19,1.1,0.9,16.3,1.37,1.28,20.05,79.86,4.82,71.08,4.33,90.6,5.72,81.73,18.71,81.68,0.7,79.17,15.51,19.41,0.17,0.93,0.12,0.0,1.07,45.95,0.55,1.83,80.95,1.83,65.08,0.87,40.0,1.74,0.17,2.03,87.14,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.15,0.15,0.0,0.0,4,75.0
M. Hummels,90,Borussia Dortmund,Bayern München,LCB,33,6500000,2023-06-30,21,1852,1,3.58,1,0.64,15.21,63.9,Germany,Germany,right,191,94,no,8.46,4.23,72.41,6.61,60.29,0.78,1.3,0.39,4.62,7.72,0.44,2,0.1,0,0.0,1.41,0.05,1,0.05,0.17,1,0.05,19,0.92,26.32,5.263,0.05,0.29,16.67,0.24,20.0,0.05,0.0,0.0,0.92,63.16,1.8,59.46,1.12,1.36,0.15,63.03,0.87,0.49,80.91,91.47,32.61,84.35,3.84,93.67,38.05,96.93,73.09,95.48,7.53,55.48,22.04,38.33,0.03,0.34,0.0,0.0,0.73,73.33,0.29,11.91,76.33,1.8,32.43,1.36,35.71,0.49,0.05,15.06,85.16,0,,0,,0,0.0,0.0,0.0,,,2.48,,,0.0,0.0,0.0,0.0,0,0.0
J. Rodríguez,87,Olympiacos Piraeus,Bayern München,"AMF, RCMF",31,9000000,2023-06-30,20,1196,7,5.63,3,4.87,14.3,46.84,Colombia,"Colombia, Spain",left,180,75,no,4.89,4.06,59.26,1.05,28.57,0.6,1.02,0.0,1.88,3.18,0.53,2,0.15,0,0.0,5.12,0.53,7,0.53,0.42,2,0.15,37,2.78,54.05,18.919,0.23,2.63,42.86,1.96,46.15,0.6,37.5,0.53,3.24,48.84,6.77,45.56,3.76,1.51,0.23,53.95,1.81,1.13,65.77,87.41,17.16,82.02,12.19,93.21,24.98,87.65,58.55,90.23,4.67,77.42,18.34,39.73,0.37,3.54,0.15,0.0,1.88,48.0,1.35,7.83,87.5,5.87,58.97,1.81,41.67,2.71,1.13,10.76,90.91,0,,0,,0,0.0,0.0,0.0,,,0.23,,,1.58,0.38,40.0,4.36,0,0.0
J. Boateng,87,Olympique Lyonnais,Bayern München,"LCB, RCB",34,2000000,2023-06-30,20,1779,0,0.51,2,1.0,9.46,67.38,Germany,Germany,right,192,90,no,7.44,4.5,67.42,2.28,75.56,0.46,0.78,0.2,3.95,6.78,0.81,1,0.05,0,0.0,0.76,0.0,0,0.0,0.03,0,0.0,12,0.61,16.67,0.0,0.1,0.56,54.55,0.4,50.0,0.15,66.67,0.05,0.25,60.0,0.66,53.85,0.35,1.01,0.0,63.09,1.16,0.46,79.38,90.31,28.79,81.9,3.34,93.94,41.23,96.69,68.4,95.49,10.47,57.97,24.14,40.21,0.05,0.46,0.0,0.05,0.51,40.0,0.25,16.64,75.99,2.78,41.82,1.97,35.9,0.86,0.25,17.5,87.57,0,,0,,0,0.0,0.0,0.0,,,2.12,,,0.0,0.0,0.0,0.0,0,0.0
T. Müller,86,Bayern München,Bayern München,"AMF, RAMF, RCMF",33,18000000,2024-06-30,32,2473,6,12.86,9,8.38,20.02,40.36,Germany,Germany,right,185,76,no,6.33,4.88,49.25,4.29,38.98,0.8,1.35,0.25,3.13,5.29,0.91,1,0.04,0,0.0,4.11,0.22,6,0.22,0.47,1,0.04,58,2.11,44.83,10.345,0.33,3.42,29.79,0.25,28.57,3.13,30.23,0.69,2.37,52.31,6.22,38.6,6.37,1.46,0.76,32.28,2.84,0.8,43.67,76.58,9.97,65.33,10.12,92.81,13.54,73.66,37.99,81.99,2.37,55.38,17.11,28.72,0.31,1.82,0.11,0.15,2.0,45.45,1.13,3.49,72.92,4.73,56.92,1.67,43.48,3.24,0.95,5.9,80.86,0,,0,,0,0.0,0.0,0.0,,,0.11,,,0.0,0.0,0.0,0.22,0,0.0
D. Alaba,85,Real Madrid,Bayern München,LB,30,55000000,2026-06-30,31,2655,3,2.8,3,3.65,11.9,50.43,Austria,Austria,left,180,78,no,6.41,3.73,61.82,1.73,50.98,0.44,0.76,0.1,3.66,6.34,0.51,3,0.1,0,0.0,3.8,0.1,3,0.1,0.09,0,0.0,47,1.59,34.04,6.383,0.1,4.78,35.46,4.75,35.0,0.0,0.0,0.61,2.24,59.09,4.1,46.28,1.63,1.59,1.32,50.07,3.73,0.34,62.44,84.64,21.93,81.76,10.14,93.65,20.61,85.86,53.76,91.17,4.34,50.78,19.13,36.79,0.12,1.02,0.1,0.07,0.58,41.18,0.51,9.22,80.51,4.41,54.62,0.58,29.41,0.98,1.69,12.47,81.52,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.54,0.54,37.5,0.17,0,0.0
M. Reus,85,Borussia Dortmund,Borussia Dortmund,"AMF, CF",33,9000000,2023-06-30,27,2445,17,13.53,7,6.65,16.82,42.23,Germany,Germany,right,180,71,no,6.15,4.82,54.96,1.77,25.0,0.37,0.5,0.11,3.13,4.24,1.18,3,0.11,1,0.04,3.75,0.63,14,0.52,0.5,1,0.04,66,2.43,53.03,25.758,0.26,1.55,42.86,0.77,52.38,0.74,35.0,0.18,3.13,42.35,6.7,38.46,4.53,1.8,1.29,28.49,0.7,1.1,36.66,83.33,9.68,72.62,8.91,95.04,10.42,84.45,34.27,85.93,0.99,51.85,15.92,26.03,0.24,1.21,0.18,0.07,1.21,39.39,0.66,4.42,75.0,2.61,69.01,0.74,40.0,1.8,0.55,4.67,83.46,0,,0,,0,0.0,0.0,0.0,,,0.11,,,1.18,0.33,44.44,0.18,3,100.0
J. Kimmich,84,Bayern München,Bayern München,RB,27,80000000,2025-06-30,34,3209,2,2.3,11,11.98,16.24,49.91,Germany,Germany,right,177,75,no,7.71,5.33,57.37,1.79,40.63,0.36,0.62,0.14,4.29,7.33,0.73,3,0.08,0,0.0,4.18,0.06,2,0.06,0.06,1,0.03,26,0.73,38.46,7.692,0.31,3.67,31.3,0.2,14.29,3.45,31.71,0.84,3.51,57.6,6.62,49.15,1.46,2.5,0.98,56.88,2.92,1.43,71.49,88.7,19.41,83.82,12.68,94.47,29.2,90.2,62.82,93.84,5.08,65.19,19.12,37.75,0.34,2.16,0.17,0.03,1.29,56.52,0.73,8.05,83.28,5.41,50.78,1.77,42.86,1.6,1.15,11.64,85.06,0,,0,,0,0.0,0.0,0.0,,,1.12,,,0.9,0.0,0.0,3.76,0,0.0
N. Süle,84,Borussia Dortmund,Bayern München,RCB,27,35000000,2026-06-30,31,2793,2,1.79,0,0.07,12.08,67.47,Germany,Germany,right,195,99,no,7.64,4.58,73.94,3.9,72.73,0.35,0.62,0.42,3.9,6.77,0.55,3,0.1,0,0.0,0.52,0.06,2,0.06,0.06,0,0.0,21,0.68,33.33,9.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,22.22,1.32,43.9,0.58,1.1,0.03,62.77,0.61,0.19,80.08,94.29,27.65,89.28,3.64,95.58,41.34,97.66,74.31,96.31,5.77,68.16,21.93,39.89,0.0,0.13,0.06,0.1,0.32,70.0,0.03,10.6,83.89,0.64,65.0,0.48,53.33,0.52,0.0,13.6,85.55,0,,0,,0,0.0,0.0,0.0,,,2.71,,,0.0,0.0,0.0,0.0,0,0.0
T. Werner,83,RB Leipzig,RB Leipzig,CF,26,25000000,2026-06-30,30,2592,16,17.28,6,4.1,17.92,37.4,Germany,Germany,right,180,75,no,3.19,3.02,54.02,1.46,16.67,0.1,0.12,0.1,1.46,1.75,0.87,1,0.03,0,0.0,5.38,0.56,16,0.56,0.6,1,0.03,100,3.47,38.0,16.0,0.21,2.64,25.0,1.53,29.55,1.08,16.13,0.24,6.18,49.44,10.49,39.4,5.8,1.56,1.35,20.42,1.91,1.15,26.88,72.09,5.52,67.3,7.57,88.53,6.84,62.94,23.61,78.24,0.69,45.0,15.93,16.11,0.14,1.08,0.0,0.0,0.9,38.46,0.59,2.08,75.0,2.36,42.65,0.63,44.44,1.11,0.63,3.47,66.0,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.0,0.0,0.0,0.1,1,0.0
L. Goretzka,83,Bayern München,Bayern München,"LDMF, LCMF",27,65000000,2026-06-30,30,2120,8,5.29,4,2.72,17.02,45.39,Germany,Germany,right,189,82,no,7.34,5.48,62.02,4.58,30.56,0.47,0.81,0.13,3.48,6.03,1.19,3,0.13,0,0.0,1.7,0.34,8,0.34,0.22,2,0.08,50,2.12,40.0,16.0,0.17,0.59,14.29,0.25,0.0,0.34,25.0,0.08,1.19,42.86,3.61,38.82,2.5,1.61,1.19,37.06,1.02,0.85,48.1,88.44,11.21,78.41,9.17,94.44,18.38,91.92,45.51,90.95,2.0,53.19,16.58,25.52,0.12,0.55,0.08,0.0,0.76,33.33,0.38,5.73,81.48,1.66,61.54,0.64,13.33,1.1,0.17,4.54,80.37,0,,0,,0,0.0,0.0,0.0,,,0.51,,,0.0,0.0,0.0,0.0,0,0.0
