Match;Competition;Date;Position;Minutes played;Total actions / successful;;Goals;Assists;Shots / on target;;xG;Passes / accurate;;Long passes / accurate;;Crosses / accurate;;Dribbles / successful;;Duels / won;;Aerial duels / won;;Interceptions;Losses / own half;;Recoveries / opp. half;;Yellow card;Red card;Defensive duels / won;;Loose ball duels / won;;Sliding tackles / successful;;Clearances;Fouls;Yellow cards;Red cards;Shot assists;Offensive duels / won;;Touches in penalty area;Offsides;Progressive runs;Fouls suffered;Through passes / accurate;;xA;Second assists;Passes to final third / accurate;;Passes to penalty area / accurate;;Received passes;Forward passes / accurate;;Back passes / accurate;;Conceded goals;xCG;Shots against;Saves / with reflexes;;Exits;Passes to GK / accurate;;Goal kicks;Short goal kicks;Long goal kicks
Barcelona - Deportivo Alavés 5:1;Spain. LaLiga;2021-02-13;CF;93;112;78;2;0;7;5;0,69;71;60;2;1;1;0;9;7;23;10;1;0;0;13;1;0;0;0;0;2;1;4;0;1;0;0;2;0;0;1;16;9;4;0;8;3;6;3;0,37;1;8;6;5;2;68;14;10;13;11;0;0;0;0;0;0;0;0;0;0;0
Real Betis - Barcelona 2:3;Spain. LaLiga;2021-02-07;AMF;38;33;21;1;0;2;1;0,1;20;17;3;2;0;0;4;1;10;3;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;10;3;2;0;1;2;3;2;0,06;0;5;5;5;4;17;11;10;2;2;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Athletic Club 2:1;Spain. LaLiga;2021-01-31;CF;96;111;73;1;0;3;2;0,92;56;47;3;3;1;0;13;5;33;19;1;1;2;13;1;3;2;0;0;2;1;4;3;0;0;0;1;0;0;2;26;14;5;0;10;5;5;0;0,41;0;12;12;6;3;41;25;18;8;8;0;0;0;0;0;0;0;0;0;0;0
Granada - Barcelona 0:4;Spain. LaLiga;2021-01-09;CF;66;78;61;2;0;2;2;0,42;58;51;0;0;0;0;4;1;12;5;0;0;1;11;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;10;5;3;0;2;2;2;0;0;0;9;8;4;1;51;18;14;15;15;0;0;0;0;0;0;0;0;0;0;0
Athletic Club - Barcelona 2:3;Spain. LaLiga;2021-01-06;CF;95;125;75;2;0;5;2;0,58;67;57;6;4;1;0;8;2;28;12;0;0;2;12;1;3;1;0;0;6;4;4;1;0;0;0;1;0;0;1;18;7;6;2;7;2;8;4;0,02;1;8;7;8;4;56;17;14;12;12;0;0;0;0;0;0;0;0;0;0;0
Huesca - Barcelona 0:1;Spain. LaLiga;2021-01-03;RWF;92;137;91;0;1;8;2;0,46;87;73;4;0;2;1;16;10;33;16;0;0;2;18;0;3;3;0;0;3;0;1;1;0;0;0;0;0;0;1;29;15;4;1;3;3;9;1;0,29;0;11;11;13;3;74;26;14;9;9;0;0;0;0;0;0;0;0;0;0;0
Real Valladolid - Barcelona 0:3;Spain. LaLiga;2020-12-22;RWF, CF;95;130;100;1;1;11;7;1,74;82;75;1;1;1;1;13;7;24;11;1;0;0;8;1;4;3;0;0;1;1;0;0;0;0;0;0;0;0;2;22;10;11;0;7;0;1;1;0,23;0;7;7;5;3;73;25;21;14;13;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Valencia 2:2;Spain. LaLiga;2020-12-19;AMF, CF, RAMF;100;114;86;1;0;10;4;1,99;73;62;3;0;4;2;13;10;24;16;1;1;0;9;0;6;6;0;0;0;0;1;0;0;0;0;1;0;0;2;22;15;5;0;7;3;5;1;0,52;0;6;4;11;7;60;25;17;9;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Sociedad 2:1;Spain. LaLiga;2020-12-16;CF;96;116;81;0;0;3;1;0,4;62;53;5;2;2;1;11;6;33;19;1;1;0;11;4;1;1;0;0;9;5;0;0;0;0;1;2;0;0;1;23;13;4;0;2;3;5;2;0,08;0;13;10;3;3;43;26;22;6;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Levante 1:0;Spain. LaLiga;2020-12-13;CF, RW;96;107;69;1;0;12;6;0,94;57;47;1;0;4;1;9;2;22;8;1;1;1;13;1;3;3;0;0;0;0;3;1;0;0;0;0;0;0;3;18;6;11;0;4;4;4;1;0,39;0;12;11;10;5;50;18;14;5;5;0;0;0;0;0;0;0;0;0;0;0
Cádiz - Barcelona 2:1;Spain. LaLiga;2020-12-05;RAMF;99;124;84;0;0;11;5;0,96;80;64;2;1;2;1;13;8;32;14;0;0;1;23;1;3;3;0;0;1;0;3;1;0;0;0;0;0;0;2;28;13;7;0;3;3;5;3;0,14;0;14;12;12;8;60;28;23;8;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Osasuna 4:0;Spain. LaLiga;2020-11-29;CF, RAMF;96;95;70;1;0;5;2;0,44;63;56;5;4;1;1;13;5;23;10;0;0;1;5;0;1;1;74;0;3;2;2;0;0;0;0;1;0;0;4;18;8;3;0;3;2;8;5;0,46;0;16;11;12;10;57;28;22;9;9;0;0;0;0;0;0;0;0;0;0;0
Atlético Madrid - Barcelona 1:0;Spain. LaLiga;2020-11-21;AMF;98;72;49;0;0;4;1;0,21;46;38;3;3;2;2;10;6;18;9;1;1;0;10;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;3;16;8;2;0;1;3;4;3;0,45;0;9;7;7;6;41;22;14;5;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Betis 5:2;Spain. LaLiga;2020-11-07;CF;51;67;47;2;0;3;3;1,15;46;37;1;0;2;0;5;3;15;7;1;0;1;10;1;2;2;0;0;1;1;0;0;0;0;0;0;0;0;2;13;6;8;0;0;1;8;3;0,13;0;7;6;12;5;45;13;7;13;13;0;0;0;0;0;0;0;0;0;0;0
Deportivo Alavés - Barcelona 1:1;Spain. LaLiga;2020-10-31;CF;99;118;73;0;0;9;4;0,68;62;47;2;1;3;1;14;6;35;15;0;0;2;21;0;2;2;39;0;2;2;1;0;0;0;0;0;1;0;1;32;13;10;1;8;3;4;0;0,14;0;9;7;3;1;48;17;13;10;10;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Madrid 1:3;Spain. LaLiga;2020-10-24;AMF, CF;97;104;72;0;0;3;2;0,43;62;55;2;2;1;0;13;4;25;10;0;0;0;17;2;1;1;91;0;4;2;1;0;0;0;0;2;1;0;0;20;8;3;0;4;3;5;2;0;1;15;14;7;5;52;23;19;5;5;0;0;0;0;0;0;0;0;0;0;0
Getafe - Barcelona 1:0;Spain. LaLiga;2020-10-17;AMF, CF, RAMF;98;69;46;0;0;3;1;0,58;36;28;1;0;1;0;7;4;19;9;0;0;3;6;2;4;2;0;0;1;0;1;0;0;0;0;0;0;0;2;17;9;2;0;3;3;0;0;0,34;0;6;6;2;1;25;12;8;5;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Sevilla 1:1;Spain. LaLiga;2020-10-04;CF;95;102;66;0;0;3;1;0,14;63;55;3;2;1;0;10;5;19;6;0;0;1;11;1;0;0;0;0;2;0;1;0;0;0;0;2;0;0;2;16;6;3;0;6;0;1;0;0,06;0;10;9;3;0;51;15;13;12;11;0;0;0;0;0;0;0;0;0;0;0
Celta de Vigo - Barcelona 0:3;Spain. LaLiga;2020-10-01;CF;99;110;75;0;0;2;1;0,07;62;55;2;2;3;1;5;4;24;13;1;1;4;10;2;4;3;0;0;4;1;3;0;2;0;0;2;0;0;2;16;11;6;1;2;5;2;0;0,16;0;9;8;3;2;52;14;13;14;14;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Villarreal 4:0;Spain. LaLiga;2020-09-27;CF;94;96;69;1;0;7;4;1,95;58;51;4;4;3;0;9;6;23;12;0;0;0;9;0;2;1;0;0;4;3;3;0;0;0;0;0;0;0;1;16;9;8;0;1;2;3;2;0;0;13;12;5;4;55;20;17;7;6;0;0;0;0;0;0;0;0;0;0;0
Deportivo Alavés - Barcelona 0:5;Spain. LaLiga;2020-07-19;RWF;96;98;62;2;0;4;2;0,59;54;45;3;3;4;2;13;5;27;11;0;0;0;10;1;1;1;0;0;2;1;1;0;0;0;0;2;0;0;1;24;10;7;1;3;2;4;4;0,16;2;6;5;5;4;47;11;8;14;13;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Osasuna 1:2;Spain. LaLiga;2020-07-16;RWF;103;117;78;1;0;9;2;0,68;78;57;11;5;6;4;15;11;24;17;0;0;0;19;1;1;1;0;0;0;0;4;3;0;0;0;0;0;0;3;20;14;6;1;9;3;7;0;0,29;0;15;13;16;6;69;30;18;8;7;0;0;0;0;0;0;0;0;0;0;0
Real Valladolid - Barcelona 0:1;Spain. LaLiga;2020-07-11;CF;99;101;64;0;1;3;1;0,29;63;47;7;6;2;1;12;7;23;11;0;0;1;18;2;1;1;0;0;3;1;2;1;0;0;0;0;0;0;1;18;9;5;0;10;2;3;2;0,16;0;9;9;4;3;53;16;13;16;13;0;0;0;0;0;0;0;0;0;0;0
