Match;Competition;Date;Position;Minutes played;Total actions / successful;;Goals;Assists;Shots / on target;;xG;Passes / accurate;;Long passes / accurate;;Crosses / accurate;;Dribbles / successful;;Duels / won;;Aerial duels / won;;Interceptions;Losses / own half;;Recoveries / opp. half;;Yellow card;Red card;Defensive duels / won;;Loose ball duels / won;;Sliding tackles / successful;;Clearances;Fouls;Yellow cards;Red cards;Shot assists;Offensive duels / won;;Touches in penalty area;Offsides;Progressive runs;Fouls suffered;Through passes / accurate;;xA;Second assists;Passes to final third / accurate;;Passes to penalty area / accurate;;Received passes;Forward passes / accurate;;Back passes / accurate;;Conceded goals;xCG;Shots against;Saves / with reflexes;;Exits;Passes to GK / accurate;;Goal kicks;Short goal kicks;Long goal kicks
Eibar - Barcelona 2:2;Spain. LaLiga;2019-05-19;CF;94;79;54;2;0;5;2;1,12;48;38;3;2;2;0;11;8;18;11;0;0;0;11;2;3;3;0;0;1;1;1;1;0;0;0;0;0;0;0;16;9;6;1;4;3;5;1;0;0;6;4;5;4;34;13;9;14;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Getafe 2:0;Spain. LaLiga;2019-05-12;CF;95;92;63;0;0;3;2;0,58;53;46;5;4;0;0;15;8;25;10;0;0;0;16;3;3;3;0;0;2;1;1;0;0;0;0;0;0;0;3;22;9;4;1;4;4;3;2;0,27;0;4;4;2;1;48;10;9;9;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Levante 1:0;Spain. LaLiga;2019-04-27;RWF, CF;47;44;36;1;0;4;3;0,46;22;18;1;0;1;0;9;8;12;9;1;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;11;9;2;0;7;1;2;1;0,13;0;2;2;10;8;16;8;7;4;4;0;0;0;0;0;0;0;0;0;0;0
Deportivo Alavés - Barcelona 0:2;Spain. LaLiga;2019-04-23;RWF, CF;34;43;25;0;0;2;1;0,34;27;18;0;0;2;0;6;3;13;5;0;0;0;10;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;11;3;2;0;4;0;0;0;0,12;0;3;2;5;4;21;10;7;3;3;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Sociedad 2:1;Spain. LaLiga;2019-04-20;RWF;94;80;41;0;0;3;1;0,02;42;28;5;3;1;0;16;6;23;9;0;0;0;15;2;0;0;0;0;1;1;2;0;0;0;0;0;0;0;1;20;8;1;1;1;2;6;1;0,07;0;9;6;10;4;32;16;11;6;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Atlético Madrid 2:0;Spain. LaLiga;2019-04-06;CF;95;137;88;1;0;8;5;0,8;63;51;4;3;2;0;21;14;47;21;1;1;0;12;1;1;1;0;0;4;1;1;0;0;0;0;0;0;0;4;41;19;6;0;10;2;4;1;0,69;0;10;8;9;5;50;25;19;12;11;0;0;0;0;0;0;0;0;0;0;0
Villarreal - Barcelona 4:4;Spain. LaLiga;2019-04-02;RWF;34;39;29;1;0;2;1;0,32;27;20;0;0;2;1;4;4;8;8;0;0;1;8;0;0;0;85;0;1;1;0;0;0;0;0;0;1;0;1;7;7;1;0;0;1;4;1;0,07;0;6;4;8;3;19;10;4;2;2;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Espanyol 2:0;Spain. LaLiga;2019-03-30;RWF;97;101;61;2;0;6;2;1,1;57;44;12;7;1;0;12;4;28;12;0;0;0;21;2;1;0;0;0;5;3;1;0;0;0;0;2;0;0;0;22;9;7;1;3;3;5;1;0;0;13;11;8;5;47;20;16;8;8;0;0;0;0;0;0;0;0;0;0;0
Real Betis - Barcelona 1:4;Spain. LaLiga;2019-03-17;CF;95;85;62;3;0;5;4;1,17;53;47;2;2;1;0;4;3;12;7;0;0;1;4;2;3;1;0;0;2;1;0;0;0;0;0;0;0;0;3;10;6;4;1;4;2;6;3;0,26;2;6;6;9;7;43;19;17;10;10;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Rayo Vallecano 3:1;Spain. LaLiga;2019-03-09;RWF, CF;93;125;72;1;1;6;3;1,12;66;51;6;2;3;0;20;7;34;12;0;0;1;23;3;3;3;0;0;2;2;4;1;0;0;0;0;0;0;3;28;9;4;2;2;2;7;2;0,69;0;7;6;9;4;50;19;13;9;8;0;0;0;0;0;0;0;0;0;0;0
Real Madrid - Barcelona 0:1;Spain. LaLiga;2019-03-02;CF;95;102;69;0;0;6;1;0,68;51;48;3;3;1;1;16;8;37;19;1;1;2;6;2;4;3;0;0;7;3;7;4;0;0;0;2;0;0;2;22;11;5;0;0;3;3;2;0,2;0;7;7;9;7;41;12;11;11;11;0;0;0;0;0;0;0;0;0;0;0
Sevilla - Barcelona 2:4;Spain. LaLiga;2019-02-23;RWF, CF;94;104;60;3;1;8;4;0,95;56;43;5;2;2;1;11;5;26;11;1;1;1;11;1;5;5;0;0;1;0;4;2;0;0;0;1;0;0;1;20;8;4;1;2;2;9;3;0,35;0;13;7;11;8;47;22;13;10;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Valladolid 1:0;Spain. LaLiga;2019-02-16;RWF;94;138;88;1;0;11;5;2,92;68;60;3;1;3;1;17;7;43;15;2;0;2;14;2;4;4;67;0;3;1;7;3;0;0;0;3;1;0;6;31;11;6;0;10;1;9;7;0,89;0;11;10;10;7;58;26;24;5;5;0;0;0;0;0;0;0;0;0;0;0
Athletic Club - Barcelona 0:0;Spain. LaLiga;2019-02-10;RWF;95;110;73;0;0;4;1;0,03;69;55;7;3;2;2;12;5;23;10;0;0;0;13;0;3;3;0;0;4;2;3;0;0;0;0;1;0;0;2;16;8;1;0;2;4;8;1;0,25;0;9;6;15;8;57;24;14;4;4;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Valencia 2:2;Spain. LaLiga;2019-02-02;RWF;95;103;74;2;0;7;4;1,28;70;57;10;6;2;0;11;6;22;10;1;1;0;15;0;2;2;0;0;0;0;4;2;0;0;0;0;0;0;3;17;7;6;0;7;0;5;2;0,04;0;16;9;20;16;59;28;20;7;5;0;0;0;0;0;0;0;0;0;0;0
Girona - Barcelona 0:2;Spain. LaLiga;2019-01-27;RWF;94;103;65;1;0;7;2;0,64;51;42;4;3;1;0;8;3;29;12;0;0;2;12;2;1;0;0;0;4;3;3;1;0;0;0;0;0;0;2;22;8;6;0;8;3;7;3;0,45;0;11;9;8;5;35;24;19;8;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Leganés 3:1;Spain. LaLiga;2019-01-20;AMF;34;46;37;1;0;2;2;0,23;32;27;5;4;1;0;4;2;10;6;0;0;0;7;0;1;1;0;0;1;1;2;2;0;0;0;0;0;0;0;7;3;3;0;5;1;2;1;0;1;4;3;3;3;29;7;6;2;2;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Eibar 3:0;Spain. LaLiga;2019-01-13;RWF, CF;93;49;27;1;0;2;2;0,15;26;20;4;2;1;0;8;3;15;4;0;0;1;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;14;4;3;2;2;0;3;2;0,06;0;7;7;6;4;22;12;9;4;4;0;0;0;0;0;0;0;0;0;0;0
Getafe - Barcelona 1:2;Spain. LaLiga;2019-01-06;RWF;93;93;65;1;0;7;5;0,7;56;48;5;4;0;0;8;3;21;7;0;0;2;9;2;6;5;0;0;2;0;1;1;0;0;0;0;0;0;2;18;6;3;0;0;6;7;4;0,15;0;17;14;6;3;50;15;11;6;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Celta de Vigo 2:0;Spain. LaLiga;2018-12-22;CF;96;84;42;1;0;3;2;0,16;40;30;4;2;1;0;11;4;26;8;0;0;3;16;1;2;1;0;0;1;0;6;2;3;1;0;1;0;0;1;19;6;5;1;1;0;9;3;0,03;0;8;3;7;4;30;9;4;9;9;0;0;0;0;0;0;0;0;0;0;0
Levante - Barcelona 0:5;Spain. LaLiga;2018-12-16;CF;92;81;59;3;2;7;4;1,36;46;39;2;0;0;0;7;4;18;11;1;1;0;7;0;5;4;0;0;2;2;4;2;0;0;0;0;0;0;6;11;6;4;0;5;2;5;1;1,16;0;10;8;7;4;40;18;14;6;6;0;0;0;0;0;0;0;0;0;0;0
Espanyol - Barcelona 0:4;Spain. LaLiga;2018-12-08;CF, RWF;96;87;63;2;1;5;4;1,32;42;37;6;5;1;0;12;7;26;16;0;0;0;11;2;0;0;0;0;1;1;2;1;0;0;0;0;0;0;5;23;14;3;1;2;5;3;2;0,8;0;5;4;12;9;34;13;10;7;7;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Villarreal 2:0;Spain. LaLiga;2018-12-02;CF;94;65;46;0;1;6;4;0,22;39;37;1;1;1;1;8;2;15;4;0;0;2;8;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;4;14;4;2;1;5;3;1;1;0,35;0;4;4;5;4;32;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0
Atlético Madrid - Barcelona 1:1;Spain. LaLiga;2018-11-24;CF;96;108;67;0;1;5;1;0,1;61;48;3;2;4;2;16;8;34;17;1;0;1;17;3;2;0;0;0;4;3;4;1;0;0;0;0;0;0;0;25;13;1;0;6;2;5;0;0;0;7;4;9;5;50;16;6;12;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Betis 3:4;Spain. LaLiga;2018-11-11;RWF, CF;96;100;58;2;0;7;3;1,96;47;40;3;2;1;1;17;6;33;13;1;1;2;12;1;4;4;0;0;3;1;1;0;0;0;0;2;0;0;3;28;11;4;1;2;2;9;5;0,37;1;8;7;10;8;39;22;17;2;2;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Sevilla 4:2;Spain. LaLiga;2018-10-20;RWF;26;16;11;1;1;2;1;0,19;9;7;2;1;0;0;2;1;4;2;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;2;1;1;0;2;0;4;2;0,33;0;3;1;2;2;7;5;3;2;2;0;0;0;0;0;0;0;0;0;0;0
Valencia - Barcelona 1:1;Spain. LaLiga;2018-10-07;CF;94;129;92;1;0;6;4;0,34;88;73;7;6;1;0;12;8;27;14;1;0;0;15;1;5;4;0;0;6;3;0;0;0;0;0;1;0;0;2;20;11;3;1;4;0;11;4;0,05;1;7;6;14;7;75;29;21;12;11;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Athletic Club 1:1;Spain. LaLiga;2018-09-29;CF;38;39;30;0;1;5;1;0,42;22;20;1;0;1;1;5;4;8;6;0;0;0;4;2;2;2;94;0;1;1;2;1;0;0;0;0;1;0;2;5;4;4;0;3;2;2;2;1,02;0;4;4;5;4;18;10;9;3;3;0;0;0;0;0;0;0;0;0;0;0
Leganés - Barcelona 2:1;Spain. LaLiga;2018-09-26;RWF;94;101;67;0;1;2;1;0,09;69;56;4;2;0;0;12;7;23;8;0;0;0;14;2;0;0;0;0;2;0;1;0;0;0;0;2;0;0;1;20;8;1;0;1;1;9;1;0,02;0;27;24;8;2;58;25;16;10;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Girona 2:2;Spain. LaLiga;2018-09-23;RWF, CF;96;114;82;1;0;6;5;0,57;69;59;4;1;2;1;18;10;34;15;1;0;1;11;2;1;0;0;0;1;1;6;2;0;0;0;0;0;0;6;26;12;3;0;3;2;11;3;0,43;0;15;13;11;7;56;25;17;7;7;0;0;0;0;0;0;0;0;0;0;0
Real Sociedad - Barcelona 1:2;Spain. LaLiga;2018-09-15;RWF;94;103;73;0;0;2;1;0,17;65;58;5;3;1;0;11;8;27;13;1;0;0;8;1;4;4;0;0;3;2;5;1;0;0;0;2;0;0;1;18;10;2;0;2;1;7;4;0,13;0;12;11;7;4;52;20;17;6;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Huesca 8:2;Spain. LaLiga;2018-09-02;RWF, CF;93;114;83;2;2;7;4;0,72;77;64;11;7;2;1;9;4;20;10;0;0;2;13;1;4;3;0;0;4;3;1;1;0;0;0;2;0;0;8;15;6;5;0;3;2;6;2;0,66;0;8;4;20;15;62;24;17;10;9;0;0;0;0;0;0;0;0;0;0;0
Real Valladolid - Barcelona 0:1;Spain. LaLiga;2018-08-25;RWF, CF;95;97;53;0;0;1;0;0;54;43;7;7;1;0;9;4;26;8;2;1;0;15;2;1;1;0;0;2;1;1;0;0;0;0;1;0;0;0;21;6;3;0;2;0;8;4;0;0;10;9;11;7;45;19;13;10;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Deportivo Alavés 3:0;Spain. LaLiga;2018-08-18;RWF, CF;93;126;92;2;0;8;4;1,1;85;75;11;9;1;1;16;7;22;11;0;0;2;10;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;4;21;10;7;3;1;3;6;5;0,64;0;15;13;13;9;68;26;19;14;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Sociedad 1:0;Spain. LaLiga;2018-05-20;CF;25;32;24;0;0;1;1;0,04;16;15;2;2;0;0;5;4;8;6;1;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;6;5;1;1;3;0;1;1;0;0;5;5;3;3;9;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Villarreal 5:1;Spain. LaLiga;2018-05-09;CF;95;114;82;1;0;4;1;0,58;74;65;5;4;0;0;3;3;18;12;0;0;1;11;1;3;1;0;0;1;0;3;2;0;0;0;1;0;0;1;14;10;5;1;4;4;5;2;0,14;1;13;13;9;6;57;20;16;11;11;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Madrid 2:2;Spain. LaLiga;2018-05-06;CF;99;107;57;1;0;5;3;0,55;51;43;5;1;0;0;10;6;32;10;2;0;3;10;3;3;1;45;0;3;1;6;3;1;1;0;2;1;0;2;21;6;6;1;1;2;5;2;0,47;0;14;11;3;2;46;15;11;9;9;0;0;0;0;0;0;0;0;0;0;0
Deportivo La Coruña - Barcelona 2:4;Spain. LaLiga;2018-04-29;CF;92;111;87;3;0;9;5;1,72;77;69;1;0;1;0;9;7;21;12;2;2;0;12;0;3;3;0;0;3;1;1;0;0;0;0;1;0;0;5;15;9;15;0;4;1;3;2;0,67;1;9;9;9;7;70;16;14;14;13;0;0;0;0;0;0;0;0;0;0;0
Celta de Vigo - Barcelona 2:2;Spain. LaLiga;2018-04-17;CF;33;26;20;0;0;1;0;0,02;17;15;0;0;0;0;6;4;7;4;0;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;0;3;1;1;0;0;0;5;5;1;1;13;6;5;2;2;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Valencia 2:1;Spain. LaLiga;2018-04-14;CF;95;104;77;0;0;6;2;0,66;72;63;3;3;0;0;5;4;17;9;0;0;1;11;2;1;1;0;0;0;0;3;2;0;0;0;0;0;0;2;14;7;7;0;8;0;1;1;0,5;0;14;14;8;7;64;26;24;6;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Leganés 3:1;Spain. LaLiga;2018-04-07;CF;94;95;60;3;0;7;5;1,01;55;43;6;4;0;0;14;8;24;10;1;0;0;18;2;5;3;0;0;3;0;2;1;0;0;0;3;0;0;1;18;9;6;0;4;3;1;0;0,42;0;7;5;4;2;44;18;12;12;9;0;0;0;0;0;0;0;0;0;0;0
Sevilla - Barcelona 2:2;Spain. LaLiga;2018-03-31;CF;35;47;26;1;0;4;1;0,23;27;20;4;1;0;0;7;2;13;3;0;0;1;9;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;12;2;2;0;3;0;2;0;0;0;0;0;12;8;21;8;6;1;1;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Athletic Club 2:0;Spain. LaLiga;2018-03-18;CF;92;77;47;1;0;9;5;0,39;38;30;4;1;0;0;12;6;24;9;1;0;2;10;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;22;8;5;0;3;3;4;1;0,13;1;9;6;6;4;32;13;6;9;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Atlético Madrid 1:0;Spain. LaLiga;2018-03-04;CF;94;105;69;1;0;4;2;0,34;56;49;3;2;0;0;13;5;31;16;2;2;3;13;1;8;5;28;0;4;2;4;2;0;0;0;2;1;0;5;21;10;0;0;5;1;0;0;0,84;0;6;5;7;7;40;20;17;6;6;0;0;0;0;0;0;0;0;0;0;0
Las Palmas - Barcelona 1:1;Spain. LaLiga;2018-03-01;CF;97;82;60;1;0;4;2;0,56;39;30;4;3;1;0;7;6;28;17;0;0;0;11;0;5;4;0;0;3;3;3;1;0;0;0;0;0;0;2;22;13;5;0;7;5;2;0;0,48;0;9;8;4;3;26;15;12;3;3;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Girona 6:1;Spain. LaLiga;2018-02-24;CF;93;91;63;2;1;7;6;1,4;53;39;5;3;1;0;11;6;27;15;0;0;1;11;3;3;2;0;0;2;2;2;1;0;0;0;0;0;0;1;23;12;4;0;3;2;13;4;0,18;1;10;8;11;8;42;27;18;9;7;0;0;0;0;0;0;0;0;0;0;0
Eibar - Barcelona 0:2;Spain. LaLiga;2018-02-17;CF;93;63;39;0;1;3;1;0,4;36;30;0;0;0;0;9;3;22;7;1;1;1;10;1;3;3;0;0;3;2;1;0;0;0;0;0;0;0;3;17;4;3;1;2;0;4;2;1,32;0;5;4;3;2;30;10;9;10;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Getafe 0:0;Spain. LaLiga;2018-02-11;CF;94;89;62;0;0;4;2;0,08;58;48;12;9;1;0;16;9;24;11;1;0;0;9;1;3;3;0;0;0;0;4;2;0;0;0;0;0;0;2;19;9;1;1;3;4;4;1;0,17;0;8;6;9;4;43;26;21;5;4;0;0;0;0;0;0;0;0;0;0;0
Espanyol - Barcelona 1:1;Spain. LaLiga;2018-02-04;CF;35;20;11;0;1;0;0;0;9;5;2;0;1;0;6;4;9;5;0;0;0;5;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;9;5;2;0;1;1;1;0;0,13;0;1;1;2;1;4;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Deportivo Alavés 2:1;Spain. LaLiga;2018-01-28;CF;94;93;62;1;0;5;5;0,75;54;40;3;1;1;0;13;9;28;14;2;0;1;21;1;4;4;0;0;1;1;5;3;0;0;0;0;0;0;5;20;10;5;0;5;1;7;3;0,32;0;8;7;11;6;47;25;18;1;1;0;0;0;0;0;0;0;0;0;0;0
Real Betis - Barcelona 0:5;Spain. LaLiga;2018-01-21;CF;94;92;67;2;1;4;2;0,7;55;43;6;3;1;0;16;13;29;19;0;0;0;10;4;1;1;0;0;1;1;1;0;0;0;0;0;0;0;4;27;18;7;0;5;2;7;1;0,24;1;5;4;9;6;42;21;14;10;8;0;0;0;0;0;0;0;0;0;0;0
Real Sociedad - Barcelona 2:4;Spain. LaLiga;2018-01-14;CF;93;60;40;1;1;5;2;0,17;33;26;3;1;1;0;8;4;15;8;1;0;0;7;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;1;12;8;0;0;3;3;4;2;0,12;0;9;7;5;4;23;14;11;1;1;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Levante 3:0;Spain. LaLiga;2018-01-07;CF;95;95;59;1;1;5;2;0,47;46;35;5;2;2;2;13;7;37;19;2;1;1;19;2;6;4;0;0;2;2;2;0;2;1;0;0;0;0;3;31;16;6;2;1;7;5;1;0,59;1;7;4;8;5;36;15;9;12;12;0;0;0;0;0;0;0;0;0;0;0
Real Madrid - Barcelona 0:3;Spain. LaLiga;2017-12-23;CF;95;92;69;1;1;4;3;0,93;54;50;1;1;2;1;10;7;25;14;0;0;3;5;0;3;2;0;0;7;5;2;1;0;0;0;2;0;0;8;16;8;4;0;2;2;2;2;1,05;0;4;3;6;6;41;10;9;18;18;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Deportivo La Coruña 4:0;Spain. LaLiga;2017-12-17;RWF, CF;93;95;62;0;1;11;4;2,33;54;48;2;2;3;1;12;4;24;5;2;0;0;15;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;2;20;5;12;0;5;2;5;3;0,66;0;8;7;7;6;49;25;22;7;7;0;0;0;0;0;0;0;0;0;0;0
Villarreal - Barcelona 0:2;Spain. LaLiga;2017-12-10;CF;94;126;86;1;0;6;2;0,83;84;66;6;2;2;0;17;11;31;16;0;0;1;18;0;1;0;0;0;2;1;3;2;0;0;0;1;0;0;4;26;13;7;0;7;2;13;2;0,52;0;11;8;20;12;69;31;19;8;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Celta de Vigo 2:2;Spain. LaLiga;2017-12-02;CF;97;112;68;1;0;10;3;1,96;69;55;2;1;3;1;14;4;27;9;0;0;2;13;0;6;6;0;0;2;0;1;1;0;0;0;0;0;0;2;24;8;12;1;1;2;11;6;0,57;1;9;7;11;9;53;28;23;12;10;0;0;0;0;0;0;0;0;0;0;0
Valencia - Barcelona 1:1;Spain. LaLiga;2017-11-26;CF;94;138;101;0;1;4;2;0,62;95;79;11;6;2;1;16;8;30;16;1;1;4;22;1;5;4;0;0;5;3;2;1;0;0;0;0;0;0;4;22;11;6;0;4;4;11;5;0,66;0;18;15;8;5;84;38;27;14;14;0;0;0;0;0;0;0;0;0;0;0
Leganés - Barcelona 0:3;Spain. LaLiga;2017-11-18;CF;93;65;38;0;1;3;1;0,25;36;25;1;0;1;0;10;4;17;5;1;0;2;11;1;3;3;0;0;1;0;1;1;0;0;0;1;0;0;2;14;4;4;0;2;2;4;2;0,4;0;8;3;6;2;27;14;9;8;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Sevilla 2:1;Spain. LaLiga;2017-11-04;RWF, CF;94;115;69;0;0;5;2;0,24;62;51;7;4;1;0;17;7;40;13;1;0;2;14;0;4;3;94;0;2;1;4;1;0;0;0;1;1;0;2;33;11;7;1;5;3;3;0;0,41;1;12;11;7;4;44;17;13;11;11;0;0;0;0;0;0;0;0;0;0;0
Athletic Club - Barcelona 0:2;Spain. LaLiga;2017-10-28;CF;94;88;48;1;0;4;2;0,83;44;35;2;1;1;0;11;5;32;7;1;0;2;14;5;4;1;0;0;3;0;0;0;0;0;0;2;0;0;2;28;7;5;0;5;3;2;0;0,29;1;6;4;7;4;35;15;11;7;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Málaga 2:0;Spain. LaLiga;2017-10-21;CF;94;84;54;0;1;3;1;0,61;45;37;1;0;0;0;13;8;28;11;0;0;2;14;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;2;24;10;5;0;3;1;6;0;0,11;0;4;3;6;3;34;15;11;5;4;0;0;0;0;0;0;0;0;0;0;0
Atlético Madrid - Barcelona 1:1;Spain. LaLiga;2017-10-14;CF;94;97;59;0;0;6;2;0,56;47;39;2;1;2;0;26;8;40;16;0;0;1;11;0;4;4;0;0;1;0;1;1;0;0;0;0;0;0;2;38;15;5;0;7;4;2;0;0,12;0;11;10;5;3;37;14;11;5;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Las Palmas 3:0;Spain. LaLiga;2017-10-01;CF;92;93;61;2;1;10;6;2,04;44;33;8;5;2;1;22;13;34;18;0;0;0;11;0;2;2;0;0;1;1;2;1;0;0;0;0;0;0;2;31;16;10;0;6;2;7;1;0,37;0;9;6;10;6;32;16;10;1;1;0;0;0;0;0;0;0;0;0;0;0
Girona - Barcelona 0:3;Spain. LaLiga;2017-09-23;CF;93;71;45;0;0;2;1;0,04;30;24;2;1;0;0;7;2;28;14;2;1;0;13;2;4;4;0;0;2;2;5;4;0;0;0;0;0;0;1;19;7;3;4;2;4;5;0;0;0;4;3;3;2;20;9;6;10;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Eibar 6:1;Spain. LaLiga;2017-09-19;CF;93;74;51;4;0;8;7;1,66;36;29;0;0;3;0;11;4;21;7;0;0;0;9;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;18;7;4;0;9;0;0;0;0;2;8;7;4;2;28;13;12;8;6;0;0;0;0;0;0;0;0;0;0;0
Getafe - Barcelona 1:2;Spain. LaLiga;2017-09-16;CF;95;84;52;0;1;3;1;0,13;48;38;8;4;0;0;12;8;25;12;1;0;1;8;0;1;1;0;0;1;1;4;2;0;0;0;0;0;0;1;19;9;1;0;0;1;11;4;0,05;0;10;5;8;5;37;19;10;6;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Espanyol 5:0;Spain. LaLiga;2017-09-09;CF;93;86;62;3;0;8;3;1,38;52;45;6;4;1;1;15;9;20;11;0;0;2;11;0;3;1;0;0;2;1;1;0;0;0;0;0;0;0;3;17;10;9;0;6;2;7;3;1,02;0;11;9;10;7;48;23;17;9;8;0;0;0;0;0;0;0;0;0;0;0
Deportivo Alavés - Barcelona 0:2;Spain. LaLiga;2017-08-26;CF;95;114;75;2;0;9;6;1,33;63;55;6;4;0;0;25;7;38;12;0;0;1;14;0;2;2;0;0;4;3;1;0;0;0;0;0;0;0;2;33;9;6;0;4;2;5;1;0,21;0;9;8;11;7;52;25;22;11;10;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Betis 2:0;Spain. LaLiga;2017-08-20;CF;93;114;75;0;0;10;1;0,48;58;52;2;1;1;0;23;15;32;18;0;0;2;9;1;2;1;0;0;0;0;3;0;0;0;0;0;0;0;1;29;18;9;0;10;2;3;1;0,2;0;7;6;4;3;44;16;12;11;11;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Eibar 4:2;Spain. LaLiga;2017-05-21;RCMF3, RWF;93;91;55;2;0;6;3;2,36;47;36;8;6;1;0;16;9;29;11;0;0;2;14;1;1;1;0;0;2;1;2;1;0;0;0;0;0;0;2;25;9;6;2;1;0;10;4;0,25;0;12;9;12;8;41;25;17;6;4;0;0;0;0;0;0;0;0;0;0;0
Las Palmas - Barcelona 1:4;Spain. LaLiga;2017-05-14;RWF;93;84;47;0;0;6;1;0,47;48;35;2;0;1;0;8;3;21;7;0;0;1;14;1;2;2;0;0;2;1;2;1;0;0;0;1;0;0;0;17;5;8;0;3;2;6;1;0;0;11;6;8;4;39;17;10;9;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Villarreal 4:1;Spain. LaLiga;2017-05-06;RWF;93;106;85;2;0;6;4;1,4;70;64;2;2;1;1;8;6;20;10;0;0;0;9;0;2;1;0;0;1;1;1;0;0;0;0;0;0;0;3;18;9;5;0;5;2;2;0;0,29;0;10;9;6;5;62;24;19;9;9;0;0;0;0;0;0;0;0;0;0;0
Espanyol - Barcelona 0:3;Spain. LaLiga;2017-04-29;RWF;93;110;64;0;1;3;3;0,27;53;40;6;2;1;0;22;9;43;18;1;0;0;14;1;1;1;0;0;3;2;1;1;0;0;0;2;0;0;5;38;15;5;0;5;4;4;0;0,65;0;10;6;9;5;35;18;9;10;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Osasuna 7:1;Spain. LaLiga;2017-04-26;CF;63;56;40;2;0;4;2;0,73;33;28;3;3;1;1;10;5;16;7;0;0;1;5;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;2;14;6;4;0;3;1;0;0;0,21;0;3;3;4;3;27;7;5;4;3;0;0;0;0;0;0;0;0;0;0;0
Real Madrid - Barcelona 2:3;Spain. LaLiga;2017-04-23;RWF;96;83;55;2;0;6;4;0,64;41;33;3;1;0;0;15;9;29;13;2;1;0;12;1;2;1;93;0;3;0;2;0;1;0;0;1;1;0;0;22;12;3;0;6;6;1;0;0;0;10;6;3;1;32;14;9;5;5;0;0;0;0;0;0;0;0;0;0;0
