Player,Rating,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Mendyl,68,OH Leuven,Schalke 04,"LAMF, LB",25,800000,2025-06-30,3,104,0,0.01,0,0.0,28.56,33.33,Morocco,"Morocco, Côte d'Ivoire",left,179,73,no,6.06,7.79,44.44,5.19,33.33,0.0,0.0,0.0,2.6,3.46,2.6,1,0.87,0,0.0,4.33,0.0,0,0.0,0.0,0,0.0,1,0.87,0.0,0.0,0.0,0.87,0.0,0.87,0.0,0.0,0.0,0.0,4.33,100.0,10.38,41.67,0.87,0.87,0.87,14.71,1.73,0.0,21.63,80.0,6.06,100.0,5.19,100.0,6.06,57.14,19.9,82.61,0.87,100.0,15.05,11.92,0.0,0.0,0.0,0.0,0.87,0.0,0.0,2.6,66.67,0.87,0.0,0.0,0.0,0.0,0.0,4.33,80.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
L. Grill,68,Union Berlin,Bayer Leverkusen,GK,23,1000000,2024-06-30,4,381,0,0.0,0,0.0,0.0,0.0,Germany,Germany,right,192,85,yes,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,3.65,0.24,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,0.47,0.0,30.71,93.85,14.88,87.3,0.0,0.0,14.65,100.0,25.98,99.09,4.72,65.0,23.4,35.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,72.22,7,1.65,20,4.72,1,65.0,7.3,1.73,0.3,0.071,0.0,0.94,0.0,,,,0.0,0,0.0
J. Ryerson,68,Union Berlin,Union Berlin,"RWB, LWB, LB",24,7500000,2023-06-30,23,1146,0,0.34,0,1.17,21.44,43.96,Norway,"Norway, United States",right,183,86,no,9.11,6.36,59.26,3.93,30.0,0.79,0.89,0.0,4.55,5.15,0.86,2,0.16,0,0.0,2.43,0.0,0,0.0,0.03,0,0.0,6,0.47,0.0,0.0,0.0,2.28,27.59,1.02,38.46,1.26,18.75,0.24,3.61,47.83,7.85,37.0,0.55,0.79,0.71,22.38,0.55,0.86,34.55,76.82,12.57,68.13,7.46,91.58,9.74,83.87,28.66,82.19,3.85,67.35,18.86,21.39,0.09,0.63,0.0,0.08,0.31,25.0,0.24,4.08,61.54,2.12,33.33,0.63,37.5,0.39,0.47,6.2,69.62,0,,0,,0,0.0,0.0,0.0,,,1.65,,,0.0,0.0,0.0,0.0,0,0.0
M. Pedersen,68,Augsburg,Augsburg,"LB, LWB",26,2500000,2024-06-30,15,955,0,0.01,0,0.74,19.7,52.63,Denmark,Denmark,left,174,72,no,12.44,9.14,59.79,1.79,47.37,0.57,0.59,0.19,6.41,6.67,1.51,1,0.09,0,0.0,2.54,0.0,0,0.0,0.0,0,0.0,1,0.09,0.0,0.0,0.0,1.7,11.11,1.7,11.11,0.0,0.0,0.28,4.05,58.14,6.31,46.27,0.38,2.36,2.45,17.15,1.13,1.32,28.27,70.67,10.27,55.05,5.37,92.98,8.48,77.78,22.9,80.25,3.77,40.0,20.78,29.41,0.07,0.75,0.0,0.0,0.38,0.0,0.09,3.3,45.71,1.51,31.25,0.38,25.0,0.28,0.19,4.99,50.94,0,,0,,0,0.0,0.0,0.0,,,0.85,,,0.38,0.0,0.0,0.75,0,0.0
F. Bredlow,68,Stuttgart,Stuttgart,GK,27,700000,2024-06-30,1,99,0,0.0,0,0.0,0.91,100.0,Germany,Germany,right,190,89,no,0.91,0.0,0.0,0.91,100.0,0.0,0.0,0.0,0.91,1.43,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64,0.0,0.0,20.0,81.82,12.73,71.43,0.0,0.0,4.55,100.0,13.64,100.0,6.36,42.86,28.11,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,60.0,1,0.91,9,8.18,0,88.89,2.07,1.88,1.07,0.973,0.0,1.82,0.91,,,,0.0,0,0.0
J. Barrett Laursen,68,Standard Liège,Arminia Bielefeld,LB,27,1500000,2025-06-30,16,1181,0,0.09,1,0.15,15.62,52.68,Denmark,Denmark,left,181,77,no,11.74,8.15,60.75,2.21,27.59,0.46,0.49,0.38,6.33,6.73,0.91,1,0.08,0,0.0,1.22,0.0,0,0.0,0.01,0,0.0,2,0.15,0.0,0.0,0.08,1.6,28.57,1.6,28.57,0.0,0.0,0.23,0.91,75.0,2.67,57.14,0.08,0.69,0.69,23.01,0.76,0.84,34.06,80.54,13.18,68.79,6.4,96.43,9.91,89.23,29.19,85.9,3.35,59.09,21.12,28.56,0.01,0.15,0.0,0.0,0.3,25.0,0.15,4.5,79.66,1.37,33.33,0.38,40.0,0.08,0.38,7.39,68.04,0,,0,,0,0.0,0.0,0.0,,,1.6,,,0.08,0.0,0.0,0.0,0,0.0
L. Netz,67,Borussia M'gladbach,Hertha BSC,"LB, LWB, LCMF",19,6500000,2026-06-30,11,342,1,0.76,0,0.28,21.32,49.38,Germany,Germany,left,180,83,no,10.79,10.26,58.97,2.63,50.0,0.0,0.0,0.0,4.74,7.3,0.0,0,0.0,0,0.0,1.84,0.26,1,0.26,0.2,0,0.0,2,0.53,50.0,50.0,0.0,2.11,12.5,2.11,12.5,0.0,0.0,0.26,3.95,33.33,7.11,37.04,3.16,1.58,1.32,26.05,1.58,0.53,36.84,82.14,11.32,69.77,7.11,96.3,12.89,89.8,30.0,90.35,5.0,57.89,18.75,21.21,0.07,0.79,0.0,0.0,0.0,0.0,0.53,3.68,85.71,0.79,33.33,0.0,0.0,0.79,0.0,8.16,70.97,0,,0,,0,0.0,0.0,0.0,,,0.26,,,0.0,0.0,0.0,0.26,0,0.0
J. Ngankam,67,Hertha BSC,Hertha BSC,CF,22,2000000,2025-06-30,15,340,2,0.45,0,0.04,29.65,21.43,Germany,"Germany, Cameroon",right,184,84,no,5.03,5.82,40.91,3.44,15.38,0.53,0.68,0.0,2.12,2.73,2.38,1,0.26,0,0.0,2.65,0.53,2,0.53,0.12,1,0.26,4,1.06,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,42.86,14.82,16.07,2.38,0.53,0.53,6.09,1.06,1.32,13.5,78.43,0.79,66.67,5.03,78.95,4.76,77.78,13.24,78.0,0.26,100.0,10.57,1.79,0.01,0.26,0.0,0.0,0.26,0.0,0.0,0.79,33.33,0.26,0.0,0.26,0.0,0.79,0.0,1.32,20.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
N. Boujellab,67,HJK,Schalke 04,"AMF, CF, LCMF",23,400000,2023-06-30,12,665,1,1.52,0,0.03,28.15,36.54,Germany,"Germany, Morocco",right,181,72,yes,7.44,7.71,43.86,5.28,35.9,0.14,0.19,0.41,3.92,5.47,2.17,2,0.27,0,0.0,2.3,0.14,1,0.14,0.21,0,0.0,13,1.76,46.15,7.692,0.0,0.54,0.0,0.14,0.0,0.41,0.0,0.0,2.17,50.0,8.8,38.46,2.44,1.22,0.68,14.08,0.68,2.17,21.79,77.64,5.55,68.29,5.14,89.47,5.55,87.8,20.71,80.39,0.54,50.0,14.94,7.58,0.0,0.27,0.0,0.0,0.81,50.0,0.0,2.57,78.95,0.41,66.67,0.81,33.33,0.41,0.0,2.3,76.47,0,,0,,0,0.0,0.0,0.0,,,0.27,,,0.0,0.0,0.0,0.0,0,0.0
F. Dahmen,67,Mainz 05,Mainz 05,GK,24,1000000,2023-06-30,3,284,0,0.0,0,0.0,1.27,75.0,Germany,"Germany, England",right,186,80,no,3.49,0.32,0.0,0.63,100.0,0.0,0.0,0.0,3.49,3.14,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82,0.32,0.63,16.16,78.43,6.65,52.38,0.0,0.0,8.24,96.15,11.09,97.14,5.07,37.5,29.66,51.96,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,44.44,10,3.17,22,6.97,0,54.55,8.13,2.58,-1.87,-0.593,0.0,1.27,0.63,,,,0.0,0,0.0
