Player,Rating,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Sonne,65,Silkeborg,Silkeborg,"LB, RB",21,300000,2026-06-30,15,834,0,0.5,1,0.67,17.48,51.85,Denmark,Denmark,right,184,78,no,10.58,8.53,60.76,1.94,55.56,0.54,0.7,0.32,4.86,6.28,0.43,1,0.11,0,0.0,1.4,0.0,0,0.0,0.05,0,0.0,8,0.86,37.5,0.0,0.11,2.37,18.18,1.73,18.75,0.54,20.0,0.11,1.73,37.5,3.78,31.43,2.16,2.37,0.54,37.55,3.67,0.76,49.42,80.35,8.85,56.1,14.78,92.7,15.76,81.51,43.6,86.39,3.67,50.0,16.62,25.01,0.07,1.08,0.0,0.0,0.22,0.0,0.65,2.37,63.64,2.91,40.74,0.22,0.0,1.73,0.22,6.69,54.84,0,,0,,0,0.0,0.0,0.0,,,0.65,,,0.0,0.0,0.0,0.0,0,0
A. Klynge,65,Silkeborg,Silkeborg,"RCMF, LCMF",21,500000,2025-06-30,31,1961,2,2.36,5,2.96,18.59,46.42,Denmark,Denmark,right,0,0,no,8.03,7.66,64.67,1.97,25.58,0.14,0.17,0.14,2.94,3.56,0.55,0,0.0,0,0.0,1.79,0.09,2,0.09,0.11,0,0.0,14,0.64,42.86,14.286,0.23,0.78,47.06,0.32,28.57,0.46,60.0,0.05,1.56,55.88,6.15,40.3,1.84,1.15,0.37,41.81,0.87,0.73,53.61,87.24,12.9,72.95,13.45,96.59,14.73,91.9,51.04,89.12,1.79,51.28,14.71,23.39,0.14,1.01,0.18,0.05,0.69,40.0,0.28,5.65,69.92,1.7,59.46,0.83,27.78,1.19,0.37,5.83,74.02,0,,0,,0,0.0,0.0,0.0,,,0.41,,,0.14,0.0,0.0,1.19,0,0
J. Bonde,65,Viborg,Viborg,"LCMF, DMF",28,450000,2024-06-30,32,2809,6,7.98,0,1.94,14.77,49.67,Denmark,Denmark,left,186,75,no,7.47,4.65,58.62,3.97,45.97,0.83,1.06,0.26,3.91,4.96,0.93,6,0.19,0,0.0,1.47,0.19,3,0.1,0.26,0,0.0,45,1.44,26.67,13.333,0.0,0.64,55.0,0.35,63.64,0.16,60.0,0.06,0.93,48.28,3.08,39.58,1.63,0.64,0.16,33.23,0.64,0.64,45.72,85.28,14.48,74.78,7.88,94.72,17.11,91.2,41.3,88.44,3.78,55.93,18.56,33.34,0.06,0.67,0.0,0.06,0.61,47.37,0.32,8.55,76.03,1.35,57.14,0.83,26.92,0.87,0.32,7.08,80.09,0,,0,,0,0.0,0.0,0.0,,,0.32,,,0.0,0.0,0.0,0.03,4,75
W. Bøving,65,Sturm Graz,København,"LW, LAMF, LWF",19,2500000,2025-06-30,26,1346,2,1.95,3,1.33,25.61,41.51,Denmark,Denmark,right,176,0,no,8.42,7.89,66.95,2.61,17.95,0.13,0.17,0.13,3.01,3.79,0.33,0,0.0,0,0.0,2.81,0.13,2,0.13,0.13,0,0.0,21,1.4,23.81,9.524,0.2,1.47,22.73,1.2,27.78,0.27,0.0,0.13,4.81,41.67,11.3,32.54,2.67,2.54,1.81,15.65,1.6,1.2,24.34,79.95,4.61,65.22,6.22,95.7,7.69,80.87,21.8,85.58,1.07,43.75,15.06,12.44,0.09,0.74,0.07,0.07,0.33,40.0,0.4,1.27,57.89,1.4,61.9,0.33,20.0,0.8,0.33,2.07,67.74,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.07,0,0
M. Diomande,65,Nordsjælland,Nordsjælland,"AMF, RCMF",20,1300000,2024-12-31,25,1599,3,1.9,0,0.93,23.7,42.76,Côte d'Ivoire,Côte d'Ivoire,left,175,75,no,6.25,6.36,61.95,2.53,26.67,0.23,0.3,0.06,2.08,2.81,1.18,7,0.39,0,0.0,3.38,0.17,3,0.17,0.11,1,0.06,27,1.52,22.22,11.111,0.0,1.18,28.57,0.73,15.38,0.39,42.86,0.17,3.6,56.25,10.53,40.11,2.42,1.24,0.84,32.98,0.51,1.74,42.72,84.45,12.38,74.09,7.77,92.75,13.68,85.6,39.17,88.22,2.36,50.0,16.5,21.69,0.05,0.62,0.0,0.0,1.46,46.15,0.34,5.63,71.0,2.81,44.0,1.01,22.22,1.29,0.28,6.19,80.0,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.0,0.0,0.0,0.0,0,0
A. Francis,65,Cercle Brugge,Nordsjælland,"RCMF, LCMF, AMF",21,1000000,2023-06-30,16,1099,0,2.47,0,0.02,22.85,45.88,Ghana,Ghana,right,184,72,no,9.34,6.55,66.25,5.32,44.62,0.33,0.45,0.16,4.67,6.43,1.31,2,0.16,1,0.08,1.8,0.0,0,0.0,0.2,0,0.0,21,1.72,23.81,0.0,0.0,0.57,14.29,0.0,0.0,0.57,14.29,0.0,1.88,56.52,6.39,33.33,2.46,0.49,0.33,26.37,0.74,0.9,39.23,80.79,10.89,65.41,7.53,94.57,13.27,85.19,35.62,84.14,3.11,55.26,17.56,33.94,0.0,0.16,0.0,0.0,0.57,42.86,0.0,4.75,67.24,1.64,55.0,0.74,33.33,0.74,0.16,4.59,75.0,0,,0,,0,0.0,0.0,0.0,,,0.49,,,0.0,0.0,0.0,0.08,0,0
O. Bundgaard,65,Randers,Randers,LB,21,800000,2026-06-30,28,1954,0,1.68,1,0.76,25.33,49.27,Denmark,Denmark,left,182,72,no,10.27,8.38,60.99,6.59,43.36,0.32,0.39,0.23,4.84,5.78,1.2,1,0.05,0,0.0,3.87,0.0,0,0.0,0.08,0,0.0,12,0.55,33.33,0.0,0.05,3.5,32.89,3.5,32.89,0.0,0.0,0.28,3.92,57.65,6.36,47.1,0.92,1.84,0.64,23.49,2.12,0.74,36.2,65.27,16.49,57.26,4.47,96.91,9.99,64.52,28.69,72.71,4.47,39.18,20.85,28.55,0.04,0.41,0.0,0.05,0.74,37.5,0.23,5.57,48.76,3.36,46.58,0.51,27.27,0.37,1.11,9.76,61.32,0,,0,,0,0.0,0.0,0.0,,,0.64,,,0.0,0.0,0.0,0.09,0,0
T. Klysner,65,Randers,Randers,"RW, LW, RB",21,700000,2024-12-31,25,926,0,1.4,1,0.73,24.88,39.84,Denmark,Denmark,right,170,69,no,7.78,7.1,50.68,3.5,36.11,0.19,0.24,0.0,3.98,4.88,0.87,0,0.0,0,0.0,4.28,0.0,0,0.0,0.14,0,0.0,13,1.26,46.15,0.0,0.1,2.72,25.0,0.49,20.0,2.24,26.09,0.29,5.25,51.85,9.91,36.27,2.24,3.21,2.14,21.38,1.36,0.39,31.78,75.84,7.48,71.43,7.29,88.0,9.62,68.69,28.19,81.38,0.97,60.0,14.8,11.85,0.07,0.68,0.0,0.0,0.68,42.86,0.29,2.72,82.14,3.01,45.16,0.58,33.33,0.97,0.58,4.76,71.43,0,,0,,0,0.0,0.0,0.0,,,0.39,,,0.0,0.0,0.0,0.0,0,0
C. Cappis,65,Brøndby,Brøndby,"LCMF, RCMF",23,1300000,2025-06-30,27,1177,4,1.75,0,0.76,26.23,48.69,United States,United States,left,185,72,no,10.78,11.16,60.96,3.36,27.27,0.61,0.77,0.46,3.36,4.22,1.07,2,0.15,0,0.0,2.83,0.31,4,0.31,0.13,0,0.0,20,1.53,45.0,20.0,0.0,0.99,38.46,0.54,42.86,0.46,33.33,0.23,2.37,64.52,7.72,42.57,1.45,1.22,0.15,24.47,0.46,0.99,37.7,80.53,14.38,69.15,6.42,94.05,11.01,84.72,33.57,84.05,3.21,54.76,17.93,25.28,0.06,0.69,0.0,0.08,0.54,42.86,0.15,6.27,76.83,1.84,54.17,0.54,28.57,0.99,0.38,7.19,75.53,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.15,0.0,0.0,0.31,0,0
J. King,65,OB,OB,LB,21,500000,2025-06-30,11,991,0,0.23,1,1.12,13.62,52.0,Australia,Australia,left,180,68,no,8.17,5.9,56.92,2.18,62.5,0.0,0.0,0.27,4.81,6.57,0.64,1,0.09,0,0.0,1.0,0.0,0,0.0,0.02,0,0.0,6,0.54,0.0,0.0,0.09,1.54,17.65,1.45,12.5,0.09,100.0,0.09,0.91,70.0,3.36,40.54,0.64,1.09,0.09,35.51,1.82,0.36,48.04,82.61,16.62,71.04,5.63,98.39,17.89,86.29,39.96,90.23,6.81,49.33,19.42,35.7,0.1,0.45,0.0,0.0,0.18,50.0,0.27,5.09,58.93,2.27,44.0,0.82,44.44,0.91,0.27,10.81,69.75,0,,0,,0,0.0,0.0,0.0,,,0.27,,,0.09,0.0,0.0,1.91,0,0
