Player,Rating,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Kimmich,89,Bayern München,Bayern München,"RDMF, RCMF, LDMF",27,80000000,2025-06-30,28,2624,3,2.19,11,7.31,16.12,54.26,Germany,Germany,right,177,75,no,10.19,6.48,58.73,1.71,52.0,0.41,0.69,0.24,5.97,9.98,0.65,4,0.14,0,0.0,2.16,0.1,3,0.1,0.07,0,0.0,31,1.06,25.81,9.677,0.38,0.62,38.89,0.14,50.0,0.45,30.77,0.07,1.51,61.36,4.66,58.09,0.89,1.41,0.45,57.62,0.55,1.51,76.45,89.05,23.22,78.73,12.79,98.39,28.71,92.83,69.15,91.67,6.69,66.67,18.32,36.92,0.25,2.13,0.24,0.14,1.44,50.0,0.58,12.66,76.42,3.46,58.42,2.26,45.45,1.78,0.17,11.9,85.01,0,,0,,0,0.0,0.0,0.0,,,1.3,,,1.34,0.03,0.0,5.28,0,0.0
T. Müller,87,Bayern München,Bayern München,AMF,32,22000000,2024-06-30,32,2688,8,10.16,15,9.52,16.88,37.7,Germany,Germany,right,185,76,no,5.06,4.12,52.85,3.31,31.31,0.33,0.55,0.13,2.54,4.15,0.37,0,0.0,0,0.0,3.28,0.27,8,0.27,0.34,0,0.0,48,1.61,58.33,16.667,0.5,3.28,34.69,0.6,38.89,2.54,34.21,0.33,1.21,36.11,5.29,33.54,5.22,1.37,0.64,37.43,2.48,0.74,47.18,76.65,9.81,63.48,11.38,92.65,16.47,76.22,40.98,82.6,2.95,40.91,16.7,30.56,0.32,2.14,0.23,0.03,2.04,37.7,1.51,4.72,67.38,5.16,50.0,2.48,29.73,2.61,1.1,6.29,84.04,0,,0,,0,0.0,0.0,0.0,,,0.33,,,0.07,0.0,0.0,0.37,0,0.0
C. Nkunku,86,RB Leipzig,RB Leipzig,"CF, AMF",24,80000000,2026-06-30,34,2871,20,11.78,11,8.55,21.1,38.04,France,"France, Congo DR",right,175,73,no,3.76,3.13,51.0,2.04,32.31,0.06,0.09,0.19,2.1,2.97,0.94,2,0.06,0,0.0,5.05,0.63,19,0.6,0.37,0,0.0,77,2.41,51.95,25.974,0.34,2.07,43.94,1.25,42.5,0.75,45.83,0.25,4.48,52.45,12.29,40.05,4.76,1.79,1.29,23.79,1.91,1.85,30.56,83.79,6.46,78.64,7.43,94.94,9.12,82.47,27.34,87.84,1.29,63.41,15.93,29.76,0.27,1.54,0.13,0.13,1.1,48.57,1.0,2.41,79.22,3.17,64.36,1.07,47.06,2.1,0.72,3.76,87.5,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.44,0.22,28.57,0.91,1,100.0
K. Coman,86,Bayern München,Bayern München,"RAMF, LAMF, LWB",25,60000000,2027-06-30,21,1425,6,3.93,3,3.23,23.62,41.71,France,"France, Guadeloupe",right,180,76,no,4.74,3.79,48.33,1.64,38.46,0.0,0.0,0.06,2.91,5.0,0.57,1,0.06,1,0.06,9.09,0.38,6,0.38,0.25,0,0.0,45,2.84,44.44,13.333,0.19,5.31,48.81,2.34,45.95,2.97,51.06,1.01,9.09,54.86,15.73,42.57,5.62,3.79,1.89,32.46,3.35,1.39,42.38,82.12,4.86,67.53,11.31,96.09,17.49,80.51,35.37,87.5,1.89,73.33,18.12,22.56,0.2,1.71,0.06,0.0,0.51,50.0,1.2,2.21,82.86,5.75,60.44,0.76,58.33,1.96,2.34,6.44,86.27,0,,0,,0,0.0,0.0,0.0,,,0.32,,,0.0,0.0,0.0,0.44,0,0.0
K. Trapp,86,Eintracht Frankfurt,Eintracht Frankfurt,GK,31,7000000,2024-06-30,32,3083,0,0.0,0,0.0,0.55,94.74,Germany,Germany,right,189,88,no,1.63,0.06,100.0,0.38,100.0,0.0,0.0,0.0,1.58,1.99,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.03,18.65,0.18,0.12,25.66,82.03,16.06,73.27,0.0,0.0,8.23,97.16,13.19,97.79,12.44,65.49,33.77,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,41.67,0.06,0.0,0.12,0.0,0.0,0.0,9.66,70.09,46,1.34,167,4.88,5,72.46,53.43,1.56,7.43,0.217,0.0,1.37,0.38,,,,0.0,0,0.0
P. Schick,85,Bayer Leverkusen,Bayer Leverkusen,CF,26,50000000,2027-06-30,27,2172,24,16.48,3,2.11,20.64,32.33,Czech Republic,Czech Republic,left,191,85,no,2.4,1.74,45.24,6.01,37.93,0.21,0.28,0.04,1.41,1.88,0.62,0,0.0,0,0.0,2.86,0.99,23,0.95,0.68,4,0.17,83,3.44,50.6,28.916,0.12,0.08,0.0,0.08,0.0,0.0,0.0,0.0,2.24,40.74,7.96,30.21,4.81,0.75,0.17,13.47,2.57,0.83,14.42,75.86,2.36,59.65,4.19,83.17,3.85,78.49,14.09,76.76,0.29,42.86,13.86,7.65,0.09,0.54,0.08,0.04,0.29,71.43,0.33,1.16,60.71,0.54,46.15,0.25,66.67,0.54,0.04,1.16,57.14,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.08,0.08,0.0,0.0,2,50.0
N. Süle,85,Borussia Dortmund,Bayern München,"LCB, CB, RCB",26,35000000,2026-06-30,28,1957,1,1.09,1,0.95,12.0,65.52,Germany,Germany,right,195,99,no,7.77,4.97,69.44,2.25,77.55,0.14,0.22,0.55,4.18,6.79,0.46,2,0.09,0,0.0,1.1,0.05,1,0.05,0.05,0,0.0,14,0.64,42.86,7.143,0.05,0.32,28.57,0.0,0.0,0.32,28.57,0.14,0.97,71.43,1.98,48.84,0.74,2.12,0.51,55.32,0.41,0.05,75.74,91.32,28.7,84.94,5.52,96.67,33.16,96.39,69.03,93.07,6.39,75.54,18.29,33.35,0.04,0.32,0.0,0.05,0.18,25.0,0.18,9.66,79.52,1.06,43.48,0.69,40.0,0.41,0.09,12.55,80.59,0,,0,,0,0.0,0.0,0.0,,,2.85,,,0.0,0.0,0.0,0.05,0,0.0
F. Kostić,85,Juventus,Eintracht Frankfurt,"LWB, LW",29,24000000,2026-06-30,31,2689,4,2.57,9,10.9,18.01,51.12,Serbia,Serbia,left,184,82,no,6.66,5.42,66.67,1.0,46.67,0.13,0.17,0.0,2.91,3.67,0.54,2,0.07,0,0.0,7.43,0.13,4,0.13,0.09,0,0.0,48,1.61,37.5,8.333,0.3,8.17,38.11,8.0,37.66,0.17,60.0,0.8,6.23,56.45,9.67,48.44,2.34,3.18,2.01,28.72,1.57,0.77,40.23,67.8,10.34,60.19,7.63,91.67,14.59,67.43,28.72,77.86,3.85,55.65,22.82,39.34,0.36,2.71,0.07,0.03,0.5,40.0,0.87,5.29,64.56,5.72,45.03,0.84,28.0,0.5,2.84,9.17,80.29,0,,0,,0,0.0,0.0,0.0,,,0.5,,,2.01,0.33,30.0,3.88,0,0.0
M. Reus,85,Borussia Dortmund,Borussia Dortmund,"AMF, RWF",33,11000000,2023-06-30,29,2656,9,9.21,11,6.17,17.62,43.27,Germany,Germany,right,180,71,no,6.51,5.05,64.43,1.29,26.32,0.14,0.2,0.17,3.12,4.71,0.64,2,0.07,0,0.0,2.68,0.3,9,0.3,0.31,0,0.0,46,1.56,43.48,19.565,0.37,0.81,29.17,0.47,21.43,0.34,40.0,0.1,2.91,38.37,7.73,33.77,3.22,1.59,0.91,31.48,1.02,1.52,40.12,84.38,10.44,73.7,9.12,95.91,10.5,84.19,38.05,86.29,1.29,63.16,14.89,25.66,0.21,1.32,0.17,0.1,1.46,44.19,0.71,4.07,77.5,2.74,58.02,1.46,39.53,1.56,0.2,4.47,78.03,0,,0,,0,0.0,0.0,0.0,,,0.27,,,1.15,0.27,50.0,0.24,0,0.0
P. Gulácsi,85,RB Leipzig,RB Leipzig,GK,32,8000000,2025-06-30,33,3143,0,0.0,0,0.0,0.31,100.0,Hungary,Hungary,right,191,86,no,1.26,0.03,100.0,0.23,100.0,0.0,0.0,0.0,1.23,1.73,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,17.41,0.26,0.06,24.45,90.87,11.28,80.96,0.03,100.0,12.11,99.53,17.52,99.51,6.9,69.29,28.43,42.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,52.38,0.11,50.0,0.14,40.0,0.09,0.0,6.07,75.47,34,0.97,113,3.24,9,69.91,33.75,0.97,-0.25,-0.007,0.0,0.92,0.23,,,,0.0,0,0.0
Y. Sommer,85,Borussia M'gladbach,Borussia M'gladbach,GK,33,5000000,2023-06-30,32,3078,0,0.0,1,0.11,0.76,84.62,Switzerland,Switzerland,right,183,79,no,1.61,0.09,33.33,0.41,100.0,0.03,0.04,0.0,1.55,2.12,0.0,2,0.06,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.12,100.0,0.0,0.03,0.0,22.49,0.18,0.18,30.79,88.6,15.79,80.0,0.0,0.0,13.86,97.89,21.43,98.77,9.36,65.31,29.8,46.83,0.0,0.03,0.0,0.0,0.0,0.0,0.03,1.49,62.75,0.12,25.0,0.18,16.67,0.03,0.0,7.16,73.06,60,1.75,178,5.2,4,66.29,59.32,1.73,-0.68,-0.02,0.0,1.17,0.41,,,,0.0,0,0.0
M. Diaby,84,Bayer Leverkusen,Bayer Leverkusen,"RAMF, LAMF, RW",22,60000000,2025-06-30,32,2900,13,8.62,10,7.81,16.26,34.54,France,"France, Mali",left,170,68,no,2.82,3.94,42.52,0.81,19.23,0.03,0.04,0.0,1.12,1.51,1.21,9,0.28,1,0.03,4.81,0.4,13,0.4,0.27,0,0.0,53,1.64,49.06,24.528,0.31,3.1,35.0,1.12,38.89,1.96,31.75,0.43,5.37,43.35,9.43,35.2,3.48,2.67,1.74,23.68,2.14,0.74,29.73,76.83,5.68,72.68,7.98,88.33,9.93,74.38,25.2,83.13,1.68,57.41,18.12,35.21,0.24,1.46,0.06,0.09,1.18,50.0,1.02,2.61,71.43,3.91,59.52,1.15,43.24,1.92,1.15,4.53,82.88,0,,0,,0,0.0,0.0,0.0,,,0.28,,,0.03,0.0,0.0,0.43,1,0.0
