Player,Rating,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Lewandowski,92,Barcelona,Bayern München,CF,33,45000000,2026-06-30,29,2602,41,35.49,6,3.46,18.71,34.38,Poland,Poland,right,185,81,no,2.11,2.66,40.26,4.22,45.9,0.07,0.11,0.03,0.97,1.49,1.38,4,0.14,0,0.0,4.19,1.42,33,1.14,1.23,5,0.17,135,4.67,50.37,30.37,0.21,1.07,29.03,0.42,41.67,0.59,17.65,0.1,2.63,36.84,7.92,27.51,6.54,1.14,0.59,18.85,1.56,0.97,21.65,77.0,4.67,66.67,4.98,93.75,6.5,75.53,19.75,80.39,0.9,53.85,15.02,18.94,0.12,0.86,0.14,0.1,1.38,40.0,0.76,1.97,71.93,2.08,53.33,1.31,28.95,1.45,0.31,1.87,72.22,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.21,0.21,50.0,0.0,9,88.889
M. Neuer,90,Bayern München,Bayern München,GK,36,15000000,2024-06-30,33,3154,0,0.0,0,0.34,0.4,71.43,Germany,Germany,right,193,93,no,1.97,0.11,0.0,0.17,100.0,0.03,0.04,0.0,1.94,2.93,0.03,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.09,100.0,0.0,0.0,0.0,20.75,0.37,0.06,29.05,91.06,14.15,84.68,0.03,0.0,14.07,98.38,22.03,96.76,6.93,74.07,28.48,43.11,0.01,0.03,0.0,0.0,0.0,0.0,0.03,0.97,52.94,0.03,0.0,0.2,14.29,0.0,0.0,5.51,68.91,42,1.2,130,3.71,9,67.69,44.57,1.27,2.57,0.073,0.0,0.34,0.17,,,,0.0,0,0.0
J. Kimmich,89,Bayern München,Bayern München,"RDMF, LDMF",27,80000000,2025-06-30,27,2316,4,2.42,9,7.56,16.55,53.76,Germany,Germany,right,177,75,no,9.05,6.14,55.06,1.59,51.22,0.39,0.61,0.16,5.28,8.31,0.74,4,0.16,0,0.0,2.64,0.16,4,0.16,0.09,1,0.04,36,1.4,36.11,11.111,0.35,1.32,44.12,0.31,62.5,0.97,40.0,0.35,1.98,47.06,6.1,54.78,1.13,2.14,1.2,53.01,0.35,1.67,71.81,87.61,22.34,79.65,8.7,94.64,31.4,92.08,62.02,91.98,8.47,62.39,20.31,37.43,0.29,2.29,0.19,0.16,1.24,50.0,0.85,13.37,77.03,4.39,60.18,2.53,33.85,1.9,0.58,11.62,85.28,0,,0,,0,0.0,0.0,0.0,,,1.2,,,1.28,0.04,0.0,5.36,0,0.0
E. Haaland,88,Manchester City,Borussia Dortmund,CF,21,150000000,2027-06-30,28,2544,27,21.2,6,3.8,15.85,39.29,Norway,Norway,left,194,88,no,2.3,1.45,63.41,3.15,51.69,0.0,0.0,0.11,1.38,1.96,0.71,2,0.07,0,0.0,3.11,0.96,25,0.88,0.75,1,0.04,90,3.18,54.44,30.0,0.21,0.46,15.38,0.28,12.5,0.14,0.0,0.04,2.09,52.54,7.04,35.18,5.52,0.92,0.6,11.57,1.52,0.78,15.5,73.97,2.69,61.84,4.28,86.78,4.6,69.23,14.82,75.89,0.25,57.14,13.41,9.89,0.13,0.74,0.04,0.11,0.74,28.57,0.46,1.2,70.59,1.38,53.85,0.64,22.22,1.34,0.14,1.34,60.53,0,,0,,0,0.0,0.0,0.0,,,0.04,,,0.0,0.0,0.0,0.0,4,50.0
L. Goretzka,88,Bayern München,Bayern München,"LDMF, RDMF",27,65000000,2026-06-30,24,1802,5,4.78,5,2.3,17.28,59.54,Germany,Germany,right,189,82,no,10.39,6.24,62.4,3.4,60.29,0.7,1.07,0.1,5.79,8.83,1.35,2,0.1,0,0.0,2.25,0.25,5,0.25,0.24,1,0.05,35,1.75,34.29,14.286,0.25,0.9,33.33,0.15,33.33,0.75,33.33,0.35,1.6,56.25,3.15,52.38,2.55,1.25,0.7,35.81,0.6,0.9,50.79,89.28,11.84,75.95,7.69,96.1,22.67,93.39,46.2,92.65,3.7,60.81,18.36,37.24,0.11,0.8,0.1,0.0,0.75,60.0,0.6,7.19,81.25,2.45,53.06,1.15,39.13,1.65,0.3,5.59,83.93,0,,0,,0,0.0,0.0,0.0,,,0.9,,,0.0,0.0,0.0,0.0,0,0.0
T. Müller,87,Bayern München,Bayern München,AMF,32,22000000,2024-06-30,32,2823,11,7.13,15,10.67,22.19,39.51,Germany,Germany,right,185,76,no,6.38,5.93,52.69,4.65,33.56,0.45,0.68,0.1,2.81,4.26,0.7,0,0.0,0,0.0,3.73,0.35,10,0.32,0.23,3,0.1,45,1.43,42.22,24.444,0.48,3.7,37.07,1.12,48.57,2.55,32.5,0.32,2.17,39.71,6.89,31.94,5.55,0.89,0.51,33.03,2.87,0.73,45.3,76.14,11.41,67.32,9.66,91.42,14.54,74.34,39.4,80.83,2.45,57.14,17.17,35.45,0.34,2.17,0.1,0.03,1.91,46.67,1.4,4.69,67.35,4.81,50.33,1.72,38.89,2.65,1.21,6.54,84.88,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.0,0.0,0.0,0.26,1,100.0
C. Nkunku,86,RB Leipzig,RB Leipzig,"CF, LAMF, RAMF",24,80000000,2026-06-30,28,2003,6,5.95,6,8.07,24.13,40.6,France,"France, Congo DR",right,175,73,no,4.58,4.49,47.0,3.01,43.28,0.09,0.14,0.09,2.38,3.81,1.71,2,0.09,0,0.0,5.3,0.27,6,0.27,0.27,0,0.0,53,2.38,45.28,11.321,0.27,2.02,51.11,1.21,59.26,0.67,40.0,0.27,4.94,52.73,12.49,39.21,4.4,2.11,1.53,29.84,2.43,2.2,37.2,85.51,8.36,73.12,9.71,94.91,10.65,85.65,34.24,88.32,0.94,57.14,15.48,21.85,0.36,2.61,0.22,0.04,1.39,41.94,0.99,3.01,79.1,3.33,62.16,1.26,42.86,2.16,0.99,4.76,83.96,0,,0,,0,0.0,0.0,0.0,,,0.22,,,1.89,0.31,57.14,4.04,0,0.0
L. Sané,86,Bayern München,Bayern München,"RAMF, RW",26,60000000,2025-06-30,32,1915,6,6.38,8,6.63,25.66,42.49,Germany,"Germany, France",left,183,80,no,6.44,5.36,58.77,1.27,37.04,0.05,0.07,0.05,3.24,5.06,0.66,2,0.09,0,0.0,6.91,0.28,6,0.28,0.3,0,0.0,57,2.68,36.84,10.526,0.38,3.01,29.69,0.52,27.27,2.49,30.19,0.66,8.32,54.8,15.65,39.34,5.31,3.76,1.88,27.73,2.3,0.99,36.05,77.44,6.77,69.44,9.49,93.07,12.5,73.68,31.91,82.62,1.41,50.0,16.66,23.72,0.31,1.46,0.19,0.09,1.5,31.25,0.99,2.54,74.07,4.04,55.81,1.03,22.73,2.35,0.85,4.46,82.11,0,,0,,0,0.0,0.0,0.0,,,0.33,,,0.09,0.0,0.0,1.55,0,0.0
K. Coman,85,Bayern München,Bayern München,"LAMF, RAMF",25,60000000,2027-06-30,29,1847,5,5.09,8,6.11,24.9,50.49,France,"France, Guadeloupe",right,180,76,no,4.92,4.48,63.04,2.14,31.82,0.0,0.0,0.0,2.1,3.2,0.58,1,0.05,0,0.0,8.58,0.24,5,0.24,0.25,1,0.05,50,2.44,36.0,10.0,0.39,5.07,40.38,3.41,41.43,1.61,36.36,0.68,9.01,60.54,15.93,49.54,5.26,3.56,1.27,29.82,3.41,1.61,40.15,82.28,5.85,74.17,11.74,92.53,14.57,80.27,33.82,88.9,1.46,73.33,18.18,28.18,0.3,2.0,0.05,0.1,0.58,33.33,1.32,1.27,88.46,4.43,54.95,0.39,37.5,1.66,2.0,4.19,77.91,0,,0,,0,0.0,0.0,0.0,,,0.1,,,0.0,0.0,0.0,0.0,0,0.0
S. Gnabry,85,Bayern München,Bayern München,"LAMF, RAMF",27,65000000,2026-06-30,27,1732,10,7.12,3,4.72,18.97,44.66,Germany,"Germany, Côte d'Ivoire",right,176,77,no,7.02,5.56,61.68,1.2,30.43,0.47,0.72,0.1,3.12,4.8,1.04,4,0.21,0,0.0,5.87,0.52,10,0.52,0.37,2,0.1,59,3.07,44.07,16.949,0.16,3.07,35.59,1.35,34.62,1.71,36.36,0.73,5.3,53.92,9.2,40.68,6.13,3.07,1.97,34.04,2.55,1.14,41.31,80.88,8.26,71.07,12.47,92.92,12.06,78.45,37.15,85.59,1.14,45.45,16.22,15.76,0.25,1.51,0.31,0.1,1.14,50.0,0.94,2.7,76.92,4.68,58.89,0.99,42.11,3.12,1.2,5.14,77.78,0,,0,,0,0.0,0.0,0.0,,,0.31,,,0.26,0.0,0.0,1.2,0,0.0
