Player,Rating,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Nielsen,50,NSÍ,Randers,"RCB, LCB",31,200000,2023-06-30,23,1188,0,0.15,0,0.0,17.88,54.66,Denmark,Denmark,right,187,80,no,10.45,6.97,63.04,5.76,50.0,0.83,1.02,0.45,5.23,6.41,1.06,3,0.23,1,0.08,0.15,0.0,0,0.0,0.01,0,0.0,2,0.15,0.0,0.0,0.0,0.38,20.0,0.15,0.0,0.23,33.33,0.0,0.3,25.0,1.52,30.0,0.45,0.38,0.08,23.56,0.38,0.3,37.73,77.91,18.41,66.67,2.65,94.29,13.26,89.14,30.38,86.78,6.97,42.39,23.94,33.56,0.0,0.0,0.0,0.0,0.08,0.0,0.0,8.26,59.63,1.29,47.06,0.91,16.67,0.38,0.08,8.94,71.19,0,,0,,0,0.0,0.0,0.0,,,1.59,,,0.0,0.0,0.0,0.0,0,0.0
E. Sviatchenko,76,Midtjylland,Midtjylland,RCB,30,1500000,2024-06-30,28,2698,4,3.48,3,0.88,19.81,59.6,Denmark,"Denmark, Ukraine",right,184,82,no,8.77,5.2,64.74,8.64,60.23,0.03,0.05,0.43,5.37,8.04,1.17,5,0.17,0,0.0,0.97,0.13,4,0.13,0.12,3,0.1,31,1.03,45.16,12.903,0.1,0.07,0.0,0.03,0.0,0.03,0.0,0.03,0.9,55.56,1.9,54.39,1.67,0.63,0.2,32.09,0.63,0.73,48.8,85.99,16.38,67.21,3.7,96.4,24.75,96.77,42.26,92.5,6.47,44.33,21.93,41.55,0.03,0.2,0.07,0.0,0.0,0.0,0.1,6.64,54.77,0.63,10.53,0.63,5.26,0.27,0.0,6.24,73.8,0,,0,,0,0.0,0.0,0.0,,,2.67,,,0.0,0.0,0.0,0.0,0,0.0
R. Falk,75,København,København,"LCMF, RCMF, AMF",30,1000000,2025-06-30,28,2385,4,4.25,5,4.46,22.11,46.76,Denmark,Denmark,right,177,65,no,6.79,6.53,56.07,1.28,32.35,0.38,0.52,0.08,2.75,3.79,1.02,3,0.11,0,0.0,4.79,0.15,4,0.15,0.16,0,0.0,32,1.21,65.63,12.5,0.19,0.94,36.0,0.49,38.46,0.45,33.33,0.11,5.47,55.17,11.02,46.58,2.94,2.87,1.17,38.3,0.68,1.74,52.72,88.55,14.08,81.77,10.49,95.68,17.4,90.89,49.74,90.67,2.11,58.93,15.67,32.27,0.17,1.28,0.11,0.11,1.36,47.22,0.68,6.11,84.57,3.02,65.0,1.32,45.71,2.23,0.38,6.15,85.28,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.0,0.0,0.0,0.08,0,0.0
J. Rinne,74,Al Fateh,AaB,GK,29,800000,,32,3076,0,0.16,0,0.0,0.99,82.35,Sweden,Sweden,right,188,86,no,2.78,0.18,66.67,0.56,94.74,0.0,0.0,0.0,2.66,3.57,0.03,2,0.06,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.09,66.67,0.06,0.0,0.0,19.98,0.0,0.15,30.75,78.21,19.57,69.51,0.0,0.0,10.65,93.68,16.41,93.94,14.31,60.33,33.97,45.14,0.0,0.0,0.0,0.03,0.0,0.0,0.0,3.54,42.98,0.35,8.33,0.56,31.58,0.03,0.0,9.42,63.04,42,1.23,153,4.48,8,72.55,50.66,1.48,8.66,0.253,0.0,1.55,0.56,,,,0.0,0,0.0
A. Maxsø,74,Brøndby,Brøndby,CB,28,2500000,2023-06-30,30,2906,2,1.67,0,0.44,12.91,63.55,Denmark,Denmark,right,192,89,no,9.14,3.1,69.0,5.42,64.0,0.31,0.41,1.18,6.69,8.88,0.4,3,0.09,0,0.0,0.37,0.06,0,0.0,0.05,0,0.0,6,0.19,66.67,33.333,0.0,0.06,50.0,0.0,0.0,0.06,50.0,0.03,0.31,60.0,1.05,44.12,0.43,0.93,0.09,39.36,0.19,0.74,56.83,91.72,15.14,75.05,3.28,99.06,32.46,98.38,52.43,95.22,4.34,50.0,20.69,39.0,0.01,0.12,0.0,0.03,0.03,100.0,0.06,4.49,61.38,0.43,42.86,0.37,8.33,0.12,0.03,6.57,72.64,0,,0,,0,0.0,0.0,0.0,,,2.69,,,0.0,0.0,0.0,0.0,2,100.0
A. Dreyer,73,Midtjylland,Midtjylland,"RAMF, RWF, RW",24,8000000,2026-06-30,31,2433,8,5.16,5,5.99,13.43,39.12,Denmark,Denmark,left,174,69,no,3.4,2.81,51.32,0.89,12.5,0.0,0.0,0.0,1.96,2.98,0.44,1,0.04,0,0.0,4.22,0.3,8,0.3,0.19,0,0.0,70,2.59,31.43,11.429,0.18,2.07,33.93,0.22,33.33,1.78,35.42,0.3,4.18,53.1,7.07,44.5,4.03,2.03,1.81,19.79,1.92,1.07,26.15,77.37,6.81,71.2,6.36,93.6,8.32,72.89,22.82,83.14,1.41,42.11,17.05,24.99,0.22,1.52,0.07,0.04,1.07,44.83,0.7,1.85,72.0,3.18,55.81,1.07,34.48,1.81,0.7,3.48,81.91,0,,0,,0,0.0,0.0,0.0,,,0.22,,,0.7,0.22,33.33,1.66,0,0.0
K. Diks,73,København,AGF,RB,25,4000000,2025-06-30,25,1977,6,3.67,0,2.42,20.44,54.79,Netherlands,"Netherlands, Indonesia",right,182,73,no,10.42,6.65,73.29,4.64,48.04,0.64,0.86,0.23,4.92,6.61,1.27,4,0.18,0,0.0,3.32,0.27,6,0.27,0.17,4,0.18,27,1.23,51.85,22.222,0.0,3.46,28.95,0.18,50.0,3.28,27.78,0.23,2.41,56.6,4.69,46.6,2.0,2.05,0.73,27.72,3.32,1.05,42.06,76.08,15.57,68.71,5.37,96.61,14.2,76.6,32.59,85.61,6.24,51.82,21.05,37.0,0.11,1.05,0.09,0.0,0.5,63.64,0.36,6.24,56.93,4.05,40.45,1.09,29.17,0.86,1.0,8.51,72.73,0,,0,,0,0.0,0.0,0.0,,,1.09,,,0.0,0.0,0.0,0.0,0,0.0
L. Andersen,73,AaB,AaB,"AMF, LWF, CF",27,500000,2024-06-30,18,1124,1,1.51,3,2.79,24.02,39.67,Denmark,Denmark,right,185,73,no,4.48,5.28,51.52,1.44,44.44,0.32,0.4,0.0,1.44,1.82,0.72,1,0.08,0,0.0,4.8,0.08,1,0.08,0.12,0,0.0,19,1.52,42.11,5.263,0.24,2.8,20.0,2.16,14.81,0.64,37.5,0.64,6.65,44.58,13.69,36.84,2.8,3.6,2.4,25.38,1.84,1.36,36.99,74.03,10.65,66.17,6.25,87.18,10.73,71.64,32.27,79.4,2.16,59.26,17.2,39.34,0.22,1.6,0.0,0.08,1.52,42.11,0.96,3.68,73.91,3.92,57.14,1.52,36.84,2.32,0.64,6.01,70.67,0,,0,,0,0.0,0.0,0.0,,,0.08,,,1.2,0.0,0.0,2.56,0,0.0
K. Grabara,72,København,AGF,GK,23,4000000,2026-06-30,29,2843,0,0.0,0,0.0,1.33,80.95,Poland,Poland,right,195,80,no,2.44,0.19,66.67,0.92,93.1,0.06,0.08,0.0,2.25,2.97,0.06,3,0.09,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.09,33.33,0.0,0.0,0.0,8.83,0.09,0.19,15.99,76.44,12.28,71.39,0.0,0.0,3.48,95.45,5.29,94.61,10.64,67.86,42.6,50.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,67.79,0.25,0.0,0.09,0.0,0.0,0.0,8.33,80.99,35,1.11,108,3.42,9,67.59,38.58,1.22,3.58,0.113,0.0,2.06,0.92,,,,0.0,0,0.0
J. Andersson,72,Midtjylland,Midtjylland,"RB, LB",25,2000000,2026-12-31,13,1195,0,0.24,1,0.61,11.07,55.78,Sweden,Sweden,right,178,68,no,8.36,5.65,57.33,1.21,62.5,0.08,0.1,0.53,5.05,6.96,0.45,0,0.0,0,0.0,1.58,0.0,0,0.0,0.02,0,0.0,2,0.15,50.0,0.0,0.08,2.79,29.73,0.45,33.33,2.33,29.03,0.3,0.9,66.67,1.81,58.33,0.45,0.9,0.53,32.01,1.73,0.75,45.04,75.25,19.58,63.46,5.42,94.44,14.84,83.76,34.57,87.8,7.76,35.92,21.57,38.57,0.05,0.38,0.0,0.15,0.08,100.0,0.23,8.06,55.14,4.07,35.19,1.05,21.43,0.75,0.83,10.17,74.81,0,,0,,0,0.0,0.0,0.0,,,1.81,,,0.08,0.0,0.0,0.0,0,0.0
